"FlakyPatternLabel","FlakyPatternCorner","FlakyInsertion","Suite name","Test name"
"BdC16P01c0_____KP11_000","FuncVmax","*","",""
"BdC16P01c0_____KP11_000","FuncVmin","*","",""
"other","AtSpeedVmin","*","",""
"pnrgdoxxc1_1pr3xmxxxx_000_2","AtSpeedVmin","*","",""
"SaC16P01c0_____KP11_002","FuncVmax","*","",""
"SaC16P01c0_____KP11_002","FuncVmin","*","",""
"SaC16P01c0_____KP11_002_hot","FuncVmax","*","",""
"SaC16P01c0_____KP11_002_hot","FuncVmin","*","",""
"SaC16P01c0_____KP11_003","FuncVmin","*","",""
"SaC16P01c0_____KP11_hot","FuncVmax","*","",""
"SaC16P01c0_____KP11_hot","FuncVmin","*","",""
"TcC16P06c0P33__KP11_000","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_001","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_002","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_003","AtSpeedVmin","*","",""
"TcC16P06c0P33__KPxx_000","AtSpeedVmin","*","",""
"TcC16P06c0P33__KPxx_001","AtSpeedVmin","*","",""
"TcC16P06c0P33__KPxx_002","AtSpeedVmin","*","",""
"TcC16P06c0P33__KPxx_003","AtSpeedVmin","*","",""
"TcC16P06c0P63__KP11_000","AtSpeedVmin","*","",""
"TcC16P06c0Paa__KP11_000","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP11_000","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP11_001","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP11_002","AtSpeedVmin","*","",""
"TcC16P06c1P33__KPxx_000","AtSpeedVmin","*","",""
"TcC16P06c1P33__KPxx_001","AtSpeedVmin","*","",""
"TcC16P06c1P33__KPxx_002","AtSpeedVmin","*","",""
"TcC16P06c1Paa__KP11_000","AtSpeedVmin","*","",""
"TcC16P06cdP33__KP11_000","AtSpeedVmin","*","",""
"TcC16P06cdPaa__KP11_000","AtSpeedVmin","*","",""
"TcC16P07c0Paa__KP11_000","AtSpeedVmin","*","",""
"TcC16P07c1Paa__KP11_000","AtSpeedVmin","*","",""
"TcC16P07cdPaa__KP11_000","AtSpeedVmin","*","",""
"TcC16P09c0P23__KP11_000","AtSpeedVmin","*","",""
"TcC16P09c0P32__KP11_000","AtSpeedVmin","*","",""
"TcC16P10c0P11__cpu0_000","AtSpeedVmax","*","",""
"TcC16P10c0P11__cpu0_000","AtSpeedVmin","*","",""
"TcC16P10c0P11__cpu1_000","AtSpeedVmax","*","",""
"TcC16P10c0P11__cpu1_000","AtSpeedVmin","*","",""
"TcC16P10c0P11__cpu2_000","AtSpeedVmax","*","",""
"TcC16P10c0P11__cpu2_000","AtSpeedVmin","*","",""
"TcC16P10c0P11__cpu3_000","AtSpeedVmax","*","",""
"TcC16P10c0P11__cpu3_000","AtSpeedVmin","*","",""
"TcC16P10c0P11__KP11_001","AtSpeedVmin","*","",""
"TcC16P10c0P12__KP11_000","AtSpeedVmax","*","",""
"TcC16P10c0P12__KP11_000","AtSpeedVmin","*","",""
"TcC16P10c0P21__KP11_000","AtSpeedVmax","*","",""
"TcC16P10c0P21__KP11_000","AtSpeedVmin","*","",""
"TcC16P10cdP11__KP11_000","AtSpeedVmin","*","",""
"usb0_tx_ref","AtSpeedVmax","*","",""
"usb0_tx_ref","AtSpeedVmin","*","",""
"usb0_tx_ref_vreftune0","AtSpeedVmax","*","",""
"usb0_tx_ref_vreftune4","AtSpeedVmin","*","",""
"yekpdfp0000a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0000a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0000a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0000b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0000b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0000b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0001a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0001a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0001a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0001b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0001b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0001b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0002a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0002a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0002a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0002b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0002b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0002b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0003a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0003a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0003a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0003b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0003b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0003b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0004a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0004a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0004a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0004b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0004b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0004b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0005a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0005a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0005a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0005b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0005b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0005b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0006a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0006a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0006a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0006b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0006b0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0006b0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0007a0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0007a0_ckdg1000_r","AtSpeedVmin","*","",""
"yekpdfp0007a0_ckdg1000_r","AtSpeedVminDDR3L","*","",""
"yekpdfp0007b0_ckdg1000_r","AtSpeedVmax","*","",""
"yekpdfp0007b0_ckdg1000_r","AtSpeedVmin","*","",""
