"FlakyPatternLabel","FlakyPatternCorner","FlakyInsertion","Suite name","Test name"
"SaC16P01c0_____KP20_002","FuncVmax","*","",""
"SaC16P01c0_____KP20_002","FuncVmin","*","",""
"SaC16P01c0_____KP20_002","FuncVminOtlr","*","",""
"SaC16P01c0_____KP11_003","FuncVmax","*","",""
"SaC16P01c0_____KP11_003","FuncVmin","*","",""
"SaC16P01c0_____KP11_003","FuncVminOtlr","*","",""
"SaC16P01c0_____KP11_hot","FuncVmax","*","",""
"SaC16P01c0_____KP11_hot","FuncVmin","*","",""
"SaC16P01c0_____KP11_hot","FuncVminOtlr","*","",""
"TcC16P06c0P33__KP11_000","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_000","AtSpeedVmax","*","",""
"TcC16P10c0P11__KP20_000","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_001","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_001","AtSpeedVmax","*","",""
"TcC16P06c0P33__KP11_002","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_002","AtSpeedVmax","*","",""
"TcC16P06c0P33__KP11_003","AtSpeedVmin","*","",""
"TcC16P06c0P33__KP11_003","AtSpeedVmax","*","",""
"TcC16P06c0P63__KP20_000","AtSpeedVmin","*","",""
"TcC16P06c0P63__KP20_000","AtSpeedVmax","*","",""
"TcC16P06c0Paa__KP20_000","AtSpeedVmin","*","",""
"TcC16P07c0Paa__KP20_000","AtSpeedVmin","*","",""
"TcC16P07c0Paa__KP20_000","AtSpeedVmax","*","",""
"TcC16P06c1P33__KP10_000","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP10_000","AtSpeedVmax","*","",""
"TcC16P06c1P33__KP10_001","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP10_001","AtSpeedVmax","*","",""
"TcC16P06c1P33__KP10_002","AtSpeedVmin","*","",""
"TcC16P06c1P33__KP10_002","AtSpeedVmax","*","",""
"TcC16P06c1Paa__KP20_000","AtSpeedVmin","*","",""
"TcC16P06c1Paa__KP20_000","AtSpeedVmax","*","",""
"TcC16P06cdP33__KP10_000","AtSpeedVmin","*","",""
"TcC16P06cdP33__KP10_000","AtSpeedVmax","*","",""
"TcC16P06cdP63__KP20_000","AtSpeedVmin","*","",""
"TcC16P06cdP63__KP20_000","AtSpeedVmax","*","",""
"TcC16P07cdPaa__KP20_000","AtSpeedVmin","*","",""
"TcC16P07cdPaa__KP20_000","AtSpeedVmax","*","",""
"TcC16P09c0P23__KP20_000","AtSpeedVmin","*","",""
"TcC16P09c0P23__KP20_000","AtSpeedVmax","*","",""
"TcC16P09c0P32__KP11_000","AtSpeedVmin","*","",""
"TcC16P09c0P32__KP11_000","AtSpeedVmax","*","",""
"TcC16P09c0P62__KP20_000","AtSpeedVmin","*","",""
"TcC16P09c0P62__KP20_000","AtSpeedVmax","*","",""
