"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,,,,,,,
"LED_ACPHY_DDR_BU_PG_AtSpeedVmax_st_MMM","X_XA_LED_ACPHY_DDR_BU_PG",323943,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_ACPHY_DDR_PG_AtSpeedVmax_st_MMM","X_XA_LED_ACPHY_DDR_PG",323944,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_AIF_PG_AtSpeedVmax_st_MMM","X_XA_LED_AIF_PG",323945,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_ALLCORES_PG_AtSpeedVmax_st_MMM","X_XA_LED_ALLCORES_PG",323946,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_ARM_PG_AtSpeedVmax_st_MMM","X_XA_LED_ARM_PG",323947,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_ATDF_PG_AtSpeedVmax_st_MMM","X_XA_LED_ATDF_PG",323948,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_BCP_PG_AtSpeedVmax_st_MMM","X_XA_LED_BCP_PG",323949,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_BCR_PG_AtSpeedVmax_st_MMM","X_XA_LED_BCR_PG",323950,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"LED_BOOT_PG_AtSpeedVmax_st_MMM","X_XA_LED_BOOT_PG",323951,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
