"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"LED_ACPHY_DDR_BU_PG_AtSpeedVmin_st","X_MA_LED_ACPHY_DDR_BU_PG_1","244444","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ACPHY_DDR_PG_AtSpeedVmin_st","X_MA_LED_ACPHY_DDR_PG","244445","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ACPHY_DDR_PG_AtSpeedVminDDR3L_st","X_2A_LED_ACPHY_DDR3L_PG","244446","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_AIF_PG_AtSpeedVmin_st","X_MA_LED_AIF_PG","244447","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ALLCORES_PG_AtSpeedVmin_st","X_MA_LED_ALLCORES_PG_1","244448","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ARM_PG_AtSpeedVmin_st","X_MA_LED_ARM_PG_1","244449","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_ATDF_PG_AtSpeedVmin_st","X_MA_LED_ATDF_PG_1","244450","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BCP_PG_AtSpeedVmin_st","X_MA_LED_BCP_PG_1","244451","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BCR_PG_AtSpeedVmin_st","X_MA_LED_BCR_PG_1","244452","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BOOT_PG_AtSpeedVmin_st","X_MA_LED_BOOT_PG_1","244453","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BOOT_PG_AtSpeedVmin_st","X_MA_LED_BOOT_PG_2","244454","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BOOT_PG_AtSpeedVmin_st","X_MA_LED_BOOT_PG_3","244455","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_BOOT_PG_AtSpeedVmin_cold_st","X_MA_LED_BOOT_PG_1","244456","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
