"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
"","","","","","","","","13","Other","7","OTHER","bad","","no",""
"","","","","","","","","1683","LEAK_IDDQ","12","F_LEAK","bad","","no",""
"","","","","","","","","1684","GOOD_IDDQ_BURNIN_1","1","GOOD1","good","","no",""
"","","","","","","","","1685","GOOD_IDDQ_BURNIN_2","2","GOOD2","good","","no",""
"","","","","","","","","1686","GOOD_IDDQ_BURNIN_3","3","GOOD3","good","","no",""
"","","","","","","","","1687","GOOD_IDDQ_BURNIN_4","4","GOOD4","good","","no",""
"","","","","","","","","1688","GOOD_IDDQ_BURNIN_5","5","GOOD5","good","","no",""
"","","","","","","","","1","GOOD1","1","GOOD1","good","","no",""
"","","","","","","","","2","GOOD2","2","GOOD2","good","","no",""
"","","","","","","","","3","GOOD3","3","GOOD3","good","","no",""
"","","","","","","","","4","GOOD4","4","GOOD4","good","","no",""
"","","","","","","","","1677","GOOD1214_MEMREP","1","GOOD1","good","","no",""
"","","","","","","","","1678","GOOD1212_MEMREP","2","GOOD2","good","","no",""
"","","","","","","","","1679","GOOD3_MEMORY","3","GOOD3","good","","no",""
"","","","","","","","","1680","GOOD4_MEMORY","4","GOOD4","good","","no",""
"","","","","","","","","1000","OS_CRES_F","8","F_OS","bad","","no",""
"","","","","","","","","1001","OS_OPEN_F","8","F_OS","bad","","no",""
"","","","","","","","","1002","OS_SHRT_PIN_F","8","F_OS","bad","","no",""
"","","","","","","","","1003","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"","","","","","","","","1004","TEMP_WAIT_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1005","CTCS_COMM_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1006","CTCS_FUNC_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1007","CTCS_VALID_TEMP_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1008","CTCS_HIGH_TEMP_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1009","CTCS_LOW_TEMP_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1010","BBT_SHUTDOWN_F","7","F_ERROR","bad","","no",""
"","","","","","","","","1011","FUNC_REPR_PostRepair_X_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1012","FUNC_REPR_UnRepairable_X_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1013","FUNC_REPR_Prog_X_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1014","FUNC_REPR_PreRepair_X_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1015","FUNC_REPR_Init_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1016","adaptiveRepairPatterns_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1017","adaptiveRepair_F","15","F_FUNC_SRAM","bad","","no",""
"","","","","","","","","1018","FTMemRepEFProg_F","10","F_FUSE","bad","","no",""
"","","","","","","","","1019","alreadyRepair_F","15","F_FUNC_SRAM","bad","","no",""
