"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,,,,,,,
"BRDG_P00_PG_FuncVmaxMP_st","XA_KA_BRDG_P00_PG",323333,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P01_PG_FuncVmaxMP_st","XA_KA_BRDG_P01_PG",323334,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P02_PG_FuncVmaxMP_st","XA_KA_BRDG_P02_PG",323335,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P02_PG_1_FuncVmaxMP_st","XA_KA_BRDG_P02_PG_1",323336,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P03_PG_FuncVmaxMP_st","XA_KA_BRDG_P03_PG",323337,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P04_PG_FuncVmaxMP_st","XA_KA_BRDG_P04_PG",323338,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P05_PG_FuncVmaxMP_st","XA_KA_BRDG_P05_PG",323339,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P06_PG_FuncVmaxMP_st","XA_KA_BRDG_P06_PG",323340,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P06_PG_1_FuncVmaxMP_st","XA_KA_BRDG_P06_PG_1",323341,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P07_PG_FuncVmaxMP_st","XA_KA_BRDG_P07_PG",323342,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P08_PG_FuncVmaxMP_st","XA_KA_BRDG_P08_PG",323343,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
