"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,,,,,,,
"BRDG_P00_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P00_PG",19950,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P01_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P01_PG",19951,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P02_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P02_PG",19952,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P02_PG_1_FuncVminNSpOtlr_st","XA_JB_BRDG_P02_PG_1",19953,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P03_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P03_PG",19954,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P04_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P04_PG",19955,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P05_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P05_PG",19956,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P06_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P06_PG",19957,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P06_PG_1_FuncVminNSpOtlr_st","XA_JB_BRDG_P06_PG_1",19958,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P07_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P07_PG",19959,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P08_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P08_PG",19960,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
"BRDG_P09_PG_FuncVminNSpOtlr_st","XA_JB_BRDG_P09_PG",19961,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",14,"F_FUNC_SPEC",10,"F_FUNC","bad",,,
