"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"BRDG_P00_PG_FuncVnom_st","XA_NA_BRDG_P00_PG","2738","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P01_PG_FuncVnom_st","XA_NA_BRDG_P01_PG","2739","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P02_PG_FuncVnom_st","XA_NA_BRDG_P02_PG","2740","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P02_PG_1_FuncVnom_st","XA_NA_BRDG_P02_PG_1","2741","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P03_PG_FuncVnom_st","XA_NA_BRDG_P03_PG","2742","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P04_PG_FuncVnom_st","XA_NA_BRDG_P04_PG","2743","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P05_PG_FuncVnom_st","XA_NA_BRDG_P05_PG","2744","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P06_PG_FuncVnom_st","XA_NA_BRDG_P06_PG","2745","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P06_PG_1_FuncVnom_st","XA_NA_BRDG_P06_PG_1","2746","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P07_PG_FuncVnom_st","XA_NA_BRDG_P07_PG","2747","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P08_PG_FuncVnom_st","XA_NA_BRDG_P08_PG","2748","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P09_PG_FuncVnom_st","XA_NA_BRDG_P09_PG","2749","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P09_PG_1_FuncVnom_st","XA_NA_BRDG_P09_PG_1","2750","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_P10_PG_FuncVnom_st","XA_NA_BRDG_P10_PG","2751","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P00_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P00_PG","2752","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P01_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P01_PG","2753","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P02_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P02_PG","2754","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P03_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P03_PG","2755","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P04_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P04_PG","2756","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P05_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P05_PG","2757","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P06_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P06_PG","2758","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"BRDG_SRCH_P07_PG_FuncVnom_st","XA_NA_BRDG_SRCH_P07_PG","2759","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
