"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_FUNC","X_JB_P1_S1","1899","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_end_FUNC","X_JB_P1_end","1900","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDCORE_P1_S1","1901","-10","-10","-10","-10","-10","GE","LE","40000","40000","2000","2000","2000","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDDDR_P1_S1","1902","-10","-10","-10","-10","-10","GE","LE","500","500","245","245","245","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDDPLL_P1_S1","1903","-10","-10","-1","-1","-1","GE","LE","100","100","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDIO_P1_S1","1904","-10","-10","-10","-10","-10","GE","LE","250","250","250","250","250","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDNWA_P1_S1","1905","-10","-10","-1","-1","-1","GE","LE","10","10","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDPLL_P1_S1","1906","-10","-10","-50","-50","-50","GE","LE","50","50","50","50","50","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDRAM_P1_S1","1907","-10","-10","-10","-10","-10","GE","LE","2611","2611","700","700","700","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDSHI_P1_S1","1908","-10","-10","-10","-10","-10","GE","LE","1000","1000","750","750","750","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDSLO_P1_S1","1909","-10","-10","-10","-10","-10","GE","LE","250","250","100","100","100","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDUHI_P1_S1","1910","-10","-10","-10","-10","-10","GE","LE","100","100","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VDDULO_P1_S1","1911","-10","-10","-1","-1","-1","GE","LE","10","10","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_VPP_P1_S1","1912","-10","-10","-10","-10","-10","GE","LE","100","100","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_vrefsstl0_P1_S1","1913","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_JB_vrefsstl1_P1_S1","1914","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_FUNC","X_JB_P2_S1","1915","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_end_FUNC","X_JB_P2_end","1916","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDCORE_P2_S1","1917","-10","-10","-10","-10","-10","GE","LE","40000","40000","2000","2000","2000","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDDDR_P2_S1","1918","-10","-10","-10","-10","-10","GE","LE","500","500","245","245","245","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDDPLL_P2_S1","1919","-10","-10","-1","-1","-1","GE","LE","100","100","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDIO_P2_S1","1920","-10","-10","-10","-10","-10","GE","LE","250","250","250","250","250","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDNWA_P2_S1","1921","-10","-10","-1","-1","-1","GE","LE","10","10","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDPLL_P2_S1","1922","-100","-100","-50","-50","-50","GE","LE","50","50","50","50","50","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDRAM_P2_S1","1923","-10","-10","-10","-10","-10","GE","LE","2611","2611","700","700","700","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDSHI_P2_S1","1924","-10","-10","-10","-10","-10","GE","LE","1000","1000","750","750","750","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDSLO_P2_S1","1925","-10","-10","-10","-10","-10","GE","LE","250","250","100","100","100","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDUHI_P2_S1","1926","-10","-10","-10","-10","-10","GE","LE","100","100","20","20","20","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VDDULO_P2_S1","1927","-10","-10","-1","-1","-1","GE","LE","10","10","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_VPP_P2_S1","1928","-10","-10","-10","-10","-10","GE","LE","100","100","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_vrefsstl0_P2_S1","1929","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVmin1_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_JB_vrefsstl1_P2_S1","1930","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_FUNC","X_NB_P1_S1","1931","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_end_FUNC","X_NB_P1_end","1932","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDCORE_P1_S1","1933","-10","-10","-10","-10","-10","GE","LE","40000","40000","7500","7500","7500","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"VDDCORE_IddqVnom_IqC08Ful_KP20_000_Hardline","IQS_NB_VDDCORE_P1_S1_Hardline","9933","0","0","0","0","0","GE","LE","25200","25200","5900","5900","5900","mA","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDDDR_P1_S1","1934","-10","-10","-10","-10","-10","GE","LE","500","500","245","245","245","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDDPLL_P1_S1","1935","-10","-10","-1","-1","-1","GE","LE","100","100","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDIO_P1_S1","1936","-10","-10","-10","-10","-10","GE","LE","250","250","250","250","250","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDNWA_P1_S1","1937","-10","-10","-1","-1","-1","GE","LE","10","10","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDPLL_P1_S1","1938","-100","-100","-50","-50","-50","GE","LE","50","50","50","50","50","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDRAM_P1_S1","1939","-10","-10","-10","-10","-10","GE","LE","5000","5000","3000","3000","3000","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"SRc0PowerTest","IQS_JB_VDDCORE_P1_Hardline","99330","0","0","","","","GE","LE","12950","12950","","","","mA","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SRc0PowerTest","IQS_NB_VDDCORE_P1_Hardline","99390","0","0","0","0","0","GE","LE","25200","25200","5900","5900","5900","mA","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SRc0PowerTest","IQS_NB_VDDARR_P1_Hardline","99391","0","0","0","0","0","GE","LE","5137","5137","1660","1660","1660","mA","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SRc0PowerTest","TDIODEREAD_IDDQ","99398","70","70","0","-150","-150","GE","LE","130","130","130","130","130","celcius","54","TDIODEREAD_IDDQ_F","12","F_LEAK_HL","bad","","no",""
"IddqVnom_burnin_bin1","VDDCORE_ARR","99393","0","0","0","0","0","GE","LE","8400","8400","8400","8400","8400","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_burnin_bin2","VDDCORE_ARR","99294","8400","8400","8400","8400","8400","GE","LE","9900","9900","9900","9900","9900","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_burnin_bin3","VDDCORE_ARR","99395","9900","9900","9900","9900","9900","GE","LE","12000","12000","12000","12000","12000","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_burnin_bin4","VDDCORE_ARR","99396","12000","12000","12000","12000","12000","GE","LE","15000","15000","15000","15000","15000","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_burnin_bin5","VDDCORE_ARR","99397","15000","15000","15000","15000","15000","GE","LE","20100","20100","20100","20100","20100","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"VDDRAM_IddqVnom_IqC08Ful_KP20_000_Hardline","IQS_NB_VDDRAM_P1_S1_Hardline","99392","0","0","0","0","0","GE","LE","3000","3000","3560","3560","3560","mA","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDSHI_P1_S1","1940","-10","-10","-10","-10","-10","GE","LE","1000","1000","750","750","750","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDSLO_P1_S1","1941","-10","-10","-10","-10","-10","GE","LE","250","250","100","100","100","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDUHI_P1_S1","1942","-10","-10","-10","-10","-10","GE","LE","100","100","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VDDULO_P1_S1","1943","-10","-10","-1","-1","-1","GE","LE","10","10","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_VPP_P1_S1","1944","-10","-10","-10","-10","-10","GE","LE","100","100","10","10","10","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_vrefsstl0_P1_S1","1945","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_000_st_PM1_MEAS","IQS_NB_vrefsstl1_P1_S1","1946","0","0","0","0","0","GE","LE","0","0","0","0","0","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_PM1_FUNC","X_NB_P2_S1","1947","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_end_FUNC","X_NB_P2_end","1948","1","1","1","1","1","GE","LE","1","1","1","1","1","Bool","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_NB_VDDCORE_P2_S1","1949","-10","-10","-10","-10","-10","GE","LE","40000","40000","7500","7500","7500","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_NB_VDDDDR_P2_S1","1950","-10","-10","-10","-10","-10","GE","LE","500","500","245","245","245","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_NB_VDDDPLL_P2_S1","1951","-10","-10","-1","-1","-1","GE","LE","100","100","1","1","1","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
"IddqVnom_IqC08Ful_______KP20_001_st_PM1_MEAS","IQS_NB_VDDIO_P2_S1","1952","-10","-10","-10","-10","-10","GE","LE","250","250","250","250","250","mA","1313","F_LEAK_IDDQ","12","F_LEAK","bad","","yes",""
