"Test name","FT_RPC_HT","FT_RPC_LT","PB_RPC_HT","PB_RPC_LT","CustomerReturn","Suite name"
"CTCS_Init_manual_st","1","1","1","1","1",""
"CTCS_Start_st","1","1","1","1","1",""
"Thermal_init","1","1","1","1","1",""
"SupplyShortsPre_st","1","1","1","1","1",""
"SupplyShortsPre2_st","0","0","0","0","0",""
"DieIDPreRead_st","1","1","1","1","1",""
"SetupBBT","0","0","0","0","0",""
"DCPinOpensTest_st_pIForce","1","1","1","1","1",""
"DCPinOpensTestPerPin_st_pIForce_SigGroup","1","1","1","1","1",""
"DCPinOpensTest_st_nIForce","0","0","0","0","0",""
"DCPinOpensTestPerPin_st_nIForce_SigGroup","0","0","0","0","0",""
"SupplyOpensTest_st","0","0","0","0","0",""
"PinOpensTest_st_nIForce","1","1","1","1","1",""
"PinShortsTest_st_nIForce","1","1","1","1","1",""
"PinShortsTest_st_pIForce","1","1","1","1","1",""
"Thermo_Sensors_Calibration","1","1","1","1","1",""
"Thermo_Sensors_Read_Temperature","1","1","1","1","1",""
"SmartReflexRead_st","0","0","0","0","1",""
"CTCS_Purge_st","0","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_000_st_PM1_FUNC","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_000_st_PM1_MEAS","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_000_st_end_FUNC","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_000_st_CCE","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_001_st_PM1_FUNC","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_001_st_PM1_MEAS","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_001_st_end_FUNC","1","1","1","1","1",""
"IddqVmin1_IqC08Ful_______KP11_001_st_CCE","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_000_st_PM1_FUNC","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_000_st_PM1_MEAS","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_000_st_end_FUNC","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_000_st_CCE","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_001_st_PM1_FUNC","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_001_st_PM1_MEAS","1","1","1","1","1",""
"IddqVnom_IqC08Ful_______KP11_001_st_end_FUNC","0","0","0","0","0",""
"IddqVnom_IqC08Ful_______KP11_001_st_CCE","1","1","1","1","1",""
"EfuseInitCheck_st","1","1","1","1","1",""
"SRc0Power_st","1","1","1","0","1",""
"TdiodeRead_st","1","1","1","0","1",""
"adaptiveRepairPatterns_st","1","1","1","1","1",""
"BRDG_P00_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P01_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P02_PG_1_FuncVmin_st","1","1","1","1","1",""
"BRDG_P02_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P03_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P04_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P05_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P06_PG_1_FuncVmin_st","1","1","1","1","1",""
"BRDG_P06_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P07_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P08_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P09_PG_1_FuncVmin_st","1","1","1","1","1",""
"BRDG_P09_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_P10_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P00_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P01_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P02_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P03_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P04_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P05_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P06_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P07_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P08_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P09_PG_FuncVmin_st","1","1","1","1","1",""
"BRDG_SRCH_P10_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P00_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P00_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P00_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P01_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P01_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P01_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P01_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P02_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P02_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P02_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P02_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P03_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P03_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P03_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P03_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P04_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P04_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P04_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P04_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P05_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P05_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P05_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P05_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P06_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P06_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P06_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P06_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P07_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P07_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P07_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P07_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P08_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P08_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P08_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P08_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P09_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P09_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P09_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P09_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P10_PG_1_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P10_PG_2_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P10_PG_3_FuncVmin_st","1","1","1","1","1",""
"CHAIN_P10_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_DFTSS_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P00_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P01_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P02_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P03_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P04_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P05_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P06_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P07_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P08_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P09_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_P10_PG_FuncVmin_st","1","1","1","1","1",""
"CHAIN_SRCH_PWRSWT_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_FULCHP_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P00_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P01_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P02_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P03_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P04_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P05_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P06_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P07_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P08_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P09_PG_FuncVmin_st","1","1","1","1","1",""
"SAF_P10_PG_FuncVmin_st","1","1","1","1","1",""
