"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,,,,,,,
"LEVELS_IN_SpecLevelsVmin_st","X_MA_LEVELS_IN",12570,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"LEVELS_OUT_SpecLevelsVmin_st","X_MA_LEVELS_OUT",12571,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_SpecLevelsVmin_st","XM_MA_DC_PARA",12572,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_1_SpecLevelsVmin_st","XM_MA_DC_PARA_1",12573,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_2_SpecLevelsVmin_st","XM_MA_DC_PARA_2",12574,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_3_SpecLevelsVmin_st","XM_MA_DC_PARA_3",12575,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_4_SpecLevelsVmin_st","XM_MA_DC_PARA_4",12576,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_5_SpecLevelsVmin_st","XM_MA_DC_PARA_5",12577,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_6_SpecLevelsVmin_st","XM_MA_DC_PARA_6",12578,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_7_SpecLevelsVmin_st","XM_MA_DC_PARA_7",12579,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_8_SpecLevelsVmin_st","XM_MA_DC_PARA_8",12580,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_9_SpecLevelsVmin_st","XM_MA_DC_PARA_9",12581,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_10_SpecLevelsVmin_st","XM_MA_DC_PARA_10",12582,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
"DC_PARA_11_SpecLevelsVmin_st","XM_MA_DC_PARA_11",12583,1,1,1,1,1,"GE","LE",1,1,1,1,1,"Bool",17,"F_PARA_VIO",11,"F_PARA","bad",,,
