"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"TRANS_P10_CPU_PG_FreqSearch_st","FLS_MAFX_TRANS_P10_CPU","255555","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_eng","FLS_MAFX_TRANS_P10_CPU","255556","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_eng2","FLS_5AFX_TRANS_P10_CPU","255557","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_0p6_eng","FLS_MAFX_TRANS_P10_0p6_CPU","258557","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_0p6_eng","FLSc_MAFX_TRANS_P10_0p6_CPU","258558","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_VminSearch_st_eng","VLS_MAFXK_TRANS_P10_CPU","255558","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_VminSearch_st_eng2","VLS_MAFXL_TRANS_P10_CPU","255559","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_VminSearch_st_eng","VLSc_MAFXK_TRANS_P10_CPU","255560","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_VminSearch_st_eng2","VLSc_MAFXL_TRANS_P10_CPU","255561","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_Fast_st","FLS_MAFX_TRANS_P10_CPU_FAST","255562","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st","FLSc_MAFX_TRANS_P10_CPU","255563","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_eng","FLSc_MAFX_TRANS_P10_CPU","255564","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_st_eng2","FLSc_5AFX_TRANS_P10_CPU","255565","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"TRANS_P10_CPU_PG_FreqSearch_Fast_st","FLSc_MAFX_TRANS_P10_CPU_FAST","255566","-9999","-9999","-9999","-9999","-9999","GE","LE","9998","9998","9998","9998","9998","MHz","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"ALL_XX_MC_PG_VminSearch_st","VLS_OAFYAC_ALL_XX_MC","255567","-2","-2","-2","-2","-2","GE","LE","8","8","8","8","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"ALL_XX_MC_PG_VminSearch_st_eng","VLS_OAFYAC_ALL_XX_MC","255568","-2","-2","-2","-2","-2","GE","LE","8","8","8","8","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
