"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,"TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG",,,,,,,,,
"ThermRead","thermdiodea2_dc",9001,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead","thermdiodea1_dc",9002,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_1","thermdiodea2_dc",9998,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_1","thermdiodea1_dc",9997,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_2","thermdiodea2_dc",9996,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_2","thermdiodea1_dc",9995,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_3","thermdiodea2_dc",9994,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_3","thermdiodea1_dc",9993,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_4","thermdiodea2_dc",9992,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_4","thermdiodea1_dc",9991,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_5","thermdiodea2_dc",9990,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_5","thermdiodea1_dc",9989,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_6","thermdiodea2_dc",9988,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_6","thermdiodea1_dc",9987,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
"ThermRead_7","thermdiodea2_dc",9986,20,20,20,20,20,"GE","LE",75,75,75,75,75,"celsius",11,"F_ERROR",8,"F_OS","bad",,,
