"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"PreReadSrc0","Invalid_SmartReflexVoltage","233333","1","1","1","1","1","GE","LE","1","1","1","1","1","bool","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SetGlobalSRVoltages","globalSR1VIDVoltage","233334","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SetGlobalSRVoltages","globalSR2VIDVoltage","233335","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SetGlobalSRVoltages","globalSRVIDVoltage","233336",".854",".854",".854",".854",".854","GE","LE","1.001","1.001","1.001","1.001","1.001","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SetGlobalSRVoltages","globalSR3VIDVoltage","233337","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"PreReadSrc0","globalSR1VIDVoltage","233338",".854",".854",".854",".854",".854","GE","LE","1.001","1.001","1.001","1.001","1.001","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"PreReadSrc0","globalSR2VIDVoltage","233339",".854",".854",".854",".854",".854","GE","LE","1.001","1.001","1.001","1.001","1.001","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SetGlobalSRVoltages","Invalid_SmartReflexVoltage","233340","1","1","1","1","1","GE","LE","1","1","1","1","1","bool","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SRc0PowerTest","Invalid_SmartReflexVoltage","233341","1","1","1","1","1","GE","LE","1","1","1","1","1","bool","53","LEAK_IDDQ_N_Hardline_F","12","F_LEAK_HL","bad","","no",""
"SRc0PowerTest","globalSR1VIDVoltage","233342",".854",".854",".854",".854",".854","GE","LE","1.001","1.001","1.001","1.001","1.001","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SRc0PowerTest","globalSR2VIDVoltage","233343",".854",".854",".854",".854",".854","GE","LE","1.001","1.001","1.001","1.001","1.001","V","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SRc0PowerTest","SRV1_ICalc","233344","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","SRV2_ICalc","233345","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","M_Budget1_Value1","233346","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"PreReadSrc0","globalSR3VIDVoltage","233347","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","bad","","yes",""
"SRc0PowerTest","B_Budget1_Value1","233348","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","I_budget1_0p8_1","233349","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","M_Budget2_Value2","233350","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","B_Budget2_Value2","233351","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","I_budget2_0p8_2","233352","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","I_budget1_1p0_1","233353","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","I_budget2_1p0_2","233354","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","B_value90_1","233355","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","B_value90_2","233356","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","M_value90_1","233357","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","M_value90_2","233358","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","B_value105_2","233359","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","M_value105_2","233360","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","VDDARR_IDDQ_Vnom_90C_ICalc_1","233361","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","VDD_IDDQ_Vnom_90C_ICalc_1","233362","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
"SRc0PowerTest","VDD_IDDQ_Vmin_90C_ICalc_1","233363","-999999","-999999","-999999","-999999","-999999","NA","NA","999999","999999","999999","999999","999999","","63","F_SMARTREFLEX","11","F_LEAK","","","",""
