"SpeedSortSuites","Insertion","Test name","Suite name"
"LED_ARM_PG_AtSpeedVmin_st","*","",""
"LED_ARM_65_PG_AtSpeedVmin_st","*","",""
"LED_BCP_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"LED_BOOT_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"LED_BOOT_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_TRACER_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"LED_TRACER_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_BCR_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_ALLCORES_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_EDMA_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_EDMA_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_EMIF_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_FFTC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_FFTC_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_GEM_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_GEM_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_GEMROM_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_GPIO_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_GPIO_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_I2C_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_MPU_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_MPU_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_MSMC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_MSMC_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_PLLCTRL_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_PSC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_QMSS_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_RAC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_RAC_PG_AtSpeedVmin_cold_st","PB_RPC_LT","",""
"LED_SEC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_SM2_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_SPI_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_SRSS_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_TAC_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_TCP_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_TIMER_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_UART_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_USIM_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"LED_VCP_PG_AtSpeedVmin_st","^FT_RPC_HT|^PB_RPC_LT","",""
"PB_PLL_1PR_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_2PR_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_DSP_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_RTA_Gx_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_S1R_Gx_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_S2A_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_S4A_AA_Gx_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_SDP_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_SSP_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_UHD_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_DSP_T0_F_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_RTA_T0_F_COLD_AtSpeedVmin_st","PB_RPC_LT","",""
"PB_PLL_1PR_AA_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_1PR_C1_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_1PR_C3_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_1PR_C3_4_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_2PR_AA_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_2PR_C1_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_2PR_C2_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_2PR_C3_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_2PR_C3_4_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_AA_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_AA_6_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C1_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C1_6_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C2_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C2_6_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C3_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C3_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_C3_6_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_T0_F_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_DSP_T0_T_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_ROM_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_AA_1_PG_AtSpeedVmin_st","*","",""
"PB_PLL_RTA_G0_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G1_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G2_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G3_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G4_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G5_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G6_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_G7_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_RTA_M0_1_PG_AtSpeedVmin_st_junk","FT_RPC_LT","",""
"PB_PLL_RTA_M0_1_PG_AtSpeedVmin_PB1_st","PB_RPC_HT","",""
"PB_PLL_S1R_AA_1_PG_AtSpeedVmin_st","*","",""
"PB_PLL_S1R_G0_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G1_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G2_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G3_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G4_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G5_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G6_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S1R_G7_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S2A_C3_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_AA_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_AA_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G0_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G0_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G1_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G1_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G2_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G2_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G3_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G3_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G4_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G4_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G5_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G5_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G6_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G6_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G7_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_S4A_G7_2_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_AA_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G0_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G1_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G2_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G3_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G4_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G5_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G6_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SDP_G7_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SSP_C1_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_SSP_M0_1_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_UHD_AA_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_UHD_C1_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_UHD_C2_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_UHD_C2_4_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
"PB_PLL_UHD_C3_3_PG_AtSpeedVmin_st","^PB_RPC_LT","",""
