"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"SupplyShortsPost_st","I_A_SP_VDDRAM","4477","-2.21","-2.21","-10","-2.10","-2.10","GE","LE","1.93","1.93","40","2.09","2.09","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDSHI","4478","-0.16","-0.16","-10","-0.66","-0.66","GE","LE","0.14","0.14","10","0.65","0.65","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_vrefsstl1","4479","-10","-10","-10","-10","-10","GE","LE","10","10","10","10","10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDNWA","4480","-0.31","-0.31","-20","-0.82","-0.82","GE","LE","0.31","0.31","10","0.82","0.82","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDUHI","4481","-0.10","-0.10","-10","-0.09","-0.09","GE","LE","0.09","0.09","10","0.09","0.09","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_vrefsstl0","4482","-10","-10","-10","-10","-10","GE","LE","10","10","10","10","10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDSLO","4483","-0.31","-0.31","-10","-0.31","-0.31","GE","LE","0.08","0.08","10","0.08","0.08","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDDPLL","4484","-0.11","-0.11","-10","-0.11","-0.11","GE","LE","0.11","0.11","10","0.10","0.10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDDDR","4485","-0.60","-0.60","-10","-0.68","-0.68","GE","LE","0.60","0.60","40","0.67","0.67","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDULO","4486","-0.10","-0.10","-10","-0.12","-0.12","GE","LE","0.09","0.09","10","0.12","0.12","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VPP","4487","-0.05","-0.05","-10","-0.05","-0.05","GE","LE","0.05","0.05","10","0.05","0.05","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDCORE","4488","-8.46","-8.46","-60","-9.20","-9.20","GE","LE","22.99","22.99","60","8.03","8.03","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDPLL","4489","-0.11","-0.11","-10","-0.11","-0.11","GE","LE","0.11","0.11","10","0.10","0.10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPost_st","I_A_SP_VDDIO","4490","-0.49","-0.49","-10","-0.52","-0.52","GE","LE","0.40","0.40","10","0.42","0.42","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
