"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","TEMP_105_DEG","TEMP_100_DEG","TEMP_25_DEG","TEMP_0_DEG","TEMP_N40_DEG","","","","","","","","",""
"SupplyShortsPre_st","I_B_SP_VDDRAM","1659","-2.21","-2.21","-10","-2.10","-2.10","GE","LE","1.93","1.93","40","2.09","2.09","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDSHI","1660","-0.16","-0.16","-10","-0.66","-0.66","GE","LE","0.14","0.14","10","0.65","0.65","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_vrefsstl1","1661","-10","-10","-10","-10","-10","GE","LE","10","10","10","10","10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDNWA","1662","-0.31","-0.31","-20","-0.82","-0.82","GE","LE","0.31","0.31","10","0.82","0.82","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDUHI","1663","-0.10","-0.10","-10","-0.09","-0.09","GE","LE","0.09","0.09","10","0.09","0.09","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_vrefsstl0","1664","-10","-10","-10","-10","-10","GE","LE","10","10","10","10","10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDSLO","1665","-0.31","-0.31","-10","-0.31","-0.31","GE","LE","0.08","0.08","10","0.08","0.08","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDDPLL","1666","-0.11","-0.11","-10","-0.11","-0.11","GE","LE","0.11","0.11","10","0.10","0.10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDDDR","1667","-0.60","-0.60","-10","-0.68","-0.68","GE","LE","0.60","0.60","40","0.67","0.67","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDULO","1668","-0.10","-0.10","-10","-0.12","-0.12","GE","LE","0.09","0.09","10","0.12","0.12","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VPP","1669","-0.05","-0.05","-10","-0.05","-0.05","GE","LE","0.05","0.05","10","0.05","0.05","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDCORE","1670","-8.46","-8.46","-60","-9.20","-9.20","GE","LE","35","35","60","8.03","8.03","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDPLL","1671","-0.11","-0.11","-10","-0.11","-0.11","GE","LE","0.11","0.11","10","0.10","0.10","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDIO","1672","-0.49","-0.49","-10","-0.52","-0.52","GE","LE","0.40","0.40","10","0.42","0.42","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDRAM","1673","-5","-5","-5","-5","-5","GE","LE","5","5","5","5","5","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDSHI","1674","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_vrefsstl1","1675","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDNWA","1676","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDUHI","1677","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_vrefsstl0","1678","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDSLO","1679","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDDPLL","1680","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDDDR","1681","-5","-5","-5","-5","-5","GE","LE","5","5","5","5","5","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDULO","1682","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VPP","1683","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDCORE","1684","-180","-180","-180","-180","-180","GE","LE","180","180","180","180","180","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDPLL","1685","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
"SupplyShortsPre2_st","I_B_SP_25MV_VDDIO","1686","-30","-30","-30","-30","-30","GE","LE","30","30","30","30","30","mA","9","F_OS_SHRT_VDD","8","F_OS","bad","","no",""
