"Timing_corner","TestType","Spec_name","Value","Suite name","Test name"
"a99_PLOAD_pNOLOAD_LED_DDRPHY_WFT15X4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99_PLOAD_pNOLOAD_LED_DDRPHY_WFT15X4","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99_PLOAD_pNOLOAD_LED_DDRPHY_WFT15X4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99_PLOAD_pNOLOAD_LED_DDRPHY_WFT15X4","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99_PLLOAD_pNOLOAD_LED_DDRPHY_WFT15X4_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99_PLLOAD_pNOLOAD_LED_DDRPHY_WFT15X4_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99_PLLOAD_pNOLOAD_LED_DDRPHY_WFT15X4_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99_PLLOAD_pNOLOAD_LED_DDRPHY_WFT15X4_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pnASY1_WFT5X4_MPT_2_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
"a99pASY1_pASY5_pASY3nALT_pnASY1_WFT5X4_MPT_2_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"a99pASY1_pASY5_pASY3nALT_pnASY1_WFT5X4_MPT_2_VskewPhi","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pnASY1_WFT5X4_MPT_2_VskewPhi","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1212","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1212","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1214","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_1214","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_2","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_2","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.085","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.075","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC1","1.04","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_AtSpeedVmax","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1.01","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC3_nAlt","1.012","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","FT_RPC_HT|FT_RPC_LT","GuardBandRatio@pASYNC1","1.015","0","0"
"a99pASY1_pASY5_pASY3nALT_pNONASYNC1_WFT5X4_MPT_VskewPhi","PB_RPC_HT|PB_RPC_LT|PB_FPC_RT|PB_FPC_RT|CustomerReturn","GuardBandRatio@pASYNC3_nAlt","1","0","0"
