"memRepairPat","capStart","capCount","Suite name","Test name"
"bnrgmxxxc1_1pr3xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc1_2pr3xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc1_dspaxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc1_ssp3xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc1_uhd3xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc2_2pr2xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc2_dspaxmxxxx_000_arp_MPB","26792","10000","",""
"bnrgmxxxc2_uhdaxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc3_1praxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc3_2praxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc3_dspaxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc3_s2a2xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxc3_uhd3xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxg0_rta1xmxxxx_002_arp_MPB","26842","10000","",""
"bnrgmxxxg0_s1r1xmxxxx_000_arp_MPB","26792","10000","",""
"bnrgmxxxg0_s4aaxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxg0_sdp1xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxg1_rta1xmxxxx_002_arp_MPB","26842","10000","",""
"bnrgmxxxg1_s1r1xmxxxx_000_arp_MPB","26792","10000","",""
"bnrgmxxxg1_s4aaxmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxg1_sdp1xmxxxx_000_arp_MPB","26842","10000","",""
"bnrgmxxxg2_rta1xmxxxx_002_arp_MPB","26842","10000","",""
"bnrgmxxxg2_s1r1xmxxxx_000_arp_MPB","26792","10000","",""
"bnrgmxxxg2_s4aaxmxxxx_000_arp_MPB","26842","10000","",""
