"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
"CHAIN_SRCH_DFTSS_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_DFTSS_PG","2490","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P00_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P00_PG","2491","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P01_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P01_PG","2492","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P02_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P02_PG","2493","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P03_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P03_PG","2494","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P04_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P04_PG","2495","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P05_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P05_PG","2496","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P06_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P06_PG","2497","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P07_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P07_PG","2498","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P08_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P08_PG","2499","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P09_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P09_PG","2500","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_P10_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_P10_PG","2501","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"CHAIN_SRCH_PWRSWT_PG_VminSearch_st","VLS_MA_CHAIN_SRCH_PWRSWT_PG","2502","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_DFTSS_PG_VminSearch_st","VLS_MA_SAF_SRCH_DFTSS_PG","2503","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_FULCHP_PG_VminSearch_st","VLS_MA_SAF_SRCH_FULCHP_PG","2504","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P00_PG_VminSearch_st","VLS_MA_SAF_SRCH_P00_PG","2505","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P01_PG_VminSearch_st","VLS_MA_SAF_SRCH_P01_PG","2506","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P02_PG_VminSearch_st","VLS_MA_SAF_SRCH_P02_PG","2507","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P03_PG_VminSearch_st","VLS_MA_SAF_SRCH_P03_PG","2508","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P04_PG_VminSearch_st","VLS_MA_SAF_SRCH_P04_PG","2509","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P05_PG_VminSearch_st","VLS_MA_SAF_SRCH_P05_PG","2510","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P06_PG_VminSearch_st","VLS_MA_SAF_SRCH_P06_PG","2511","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P07_PG_VminSearch_st","VLS_MA_SAF_SRCH_P07_PG","2512","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P08_PG_VminSearch_st","VLS_MA_SAF_SRCH_P08_PG","2513","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P09_PG_VminSearch_st","VLS_MA_SAF_SRCH_P09_PG","2514","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_P10_PG_VminSearch_st","VLS_MA_SAF_SRCH_P10_PG","2515","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"SAF_SRCH_PWRSWT_PG_VminSearch_st","VLS_MA_SAF_SRCH_PWRSWT_PG","2516","-2","GE","LE","8","V","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_SRCH_ARM_PG_FreqSearch_st","FBS_MA_LED_SRCH_ARM_PG","2517","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_SRCH_BCP_PG_FreqSearch_st","FBS_MA_LED_SRCH_BCP_PG","2518","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_SRCH_GEM_PG_FreqSearch_st","FBS_MA_LED_SRCH_GEM_PG","2519","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"LED_SRCH_MSMC_PG_FreqSearch_st","FBS_MA_LED_SRCH_MSMC_PG","2520","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_1DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_1DO_PG","2521","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_1PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_1PR_PG","2522","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_3DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_3DO_PG","2523","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_3PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_3PR_PG","2524","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_4DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_4DO_PG","2525","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_AA_4PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_AA_4PR_PG","2526","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C1_3DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C1_3DO_PG","2527","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C1_3PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C1_3PR_PG","2528","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C3_3DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C3_3DO_PG","2529","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C3_3PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C3_3PR_PG","2530","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C3_4DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C3_4DO_PG","2531","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_C3_4PR_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_C3_4PR_PG","2532","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_1PR_T0_1DO_PG_FreqSearch_st","FBS_MA_P_SRCH_1PR_T0_1DO_PG","2533","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_2DO_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_2DO_PG","2534","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_2PR_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_2PR_PG","2535","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_3DO_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_3DO_PG","2536","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_3PR_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_3PR_PG","2537","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_4DO_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_4DO_PG","2538","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_AA_4PR_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_AA_4PR_PG","2539","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_C1_3DO_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_C1_3DO_PG","2540","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_C1_3PR_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_C1_3PR_PG","2541","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
"P_SRCH_2PR_C2_2DO_PG_FreqSearch_st","FBS_MA_P_SRCH_2PR_C2_2DO_PG","2542","1","GE","LE","1","Bool","14","F_FUNC_SPEC","10","F_FUNC","bad","","",""
