"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
"","","","","","","","","13","Other","7","OTHER","bad","","no",""
"","","","","","","","","1","SORT1","1","SORT1","good","","no",""
"","","","","","","","","2","SORT2","2","SORT2","good","","no",""
"","","","","","","","","3","SORT3","3","SORT3","good","","no",""
"","","","","","","","","4","SORT4","4","SORT4","good","","no",""
"","","","","","","","","5","SORT5","5","SORT5","good","","no",""
"","","","","","","","","6","SORT6","6","SORT6","good","","no",""
"","","","","","","","","1000","OS_CRES_F","8","F_OS","bad","","no",""
"","","","","","","","","1001","OS_OPEN_F","8","F_OS","bad","","no",""
"","","","","","","","","1002","OS_SHRT_PIN_F","8","F_OS","bad","","no",""
"","","","","","","","","1003","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
