"AlphaChar","Numeric","Test name","Suite name"
"A","1","",""
"B","2","",""
"C","3","",""
"D","4","",""
"E","5","",""
"F","6","",""
"G","7","",""
"K","8","",""
"L","9","",""
"M","10","",""
"P","11","",""
"R","12","",""
"T","13","",""
"U","14","",""
"V","15","",""
"W","16","",""
"Y","17","",""
"AA","18","",""
"AB","19","",""
"AC","20","",""
"AD","21","",""
"AE","22","",""
"AF","23","",""
"AG","24","",""
"AK","25","",""
"AL","26","",""
"AM","27","",""
"AN","28","",""
"AP","29","",""
"AR","30","",""
"AT","31","",""
"AU","32","",""
"AV","33","",""
"AW","34","",""
