Suite name,Test name,Test number,Lsl,Lsl,Lsl,Lsl_typ,Usl_typ,Usl,Usl,Usl,Units,Bin_s_num,Bin_s_name,Bin_h_num,Bin_h_name,Bin_type,Bin_reprobe,Bin_overon,Test_remarks
Test mode,,,TEMP_COLD_DEG,TEMP_ROOM_DEG,TEMP_HOT_DEG,,,TEMP_COLD_DEG,TEMP_ROOM_DEG,TEMP_HOT_DEG,,,,,,,,,
LED_BCP_AtSpeedVmaxOK_st,X_OKA_LED_BCP,974,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_BCP_F,14,F_FUNC_SPEED,bad,,,
LED_BOOTCFG_AtSpeedVmaxOK_st,X_OKA_LED_BOOTCFG,975,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_BOOTCFG_F,14,F_FUNC_SPEED,bad,,,
LED_DDR_AtSpeedVmaxOK_st,X_OKA_LED_DDR,976,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_DDR_F,14,F_FUNC_SPEED,bad,,,
LED_DFT_AtSpeedVmaxOK_st,X_OKA_LED_DFT,977,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_DFT_F,14,F_FUNC_SPEED,bad,,,
LED_EDMA_AtSpeedVmaxOK_st,X_OKA_LED_EDMA,978,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_EDMA_F,14,F_FUNC_SPEED,bad,,,
LED_EMIF_AtSpeedVmaxOK_st,X_OKA_LED_EMIF,979,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_EMIF_F,14,F_FUNC_SPEED,bad,,,
LED_ETB_AtSpeedVmaxOK_st,X_OKA_LED_ETB,980,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_ETB_F,14,F_FUNC_SPEED,bad,,,
LED_FFTC_AtSpeedVmaxOK_st,X_OKA_LED_FFTC,981,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_FFTC_F,14,F_FUNC_SPEED,bad,,,
LED_GEM_AtSpeedVmaxOK_st,X_OKA_LED_GEM,982,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_GEM_F,14,F_FUNC_SPEED,bad,,,
LED_GPIO_AtSpeedVmaxOK_st,X_OKA_LED_GPIO,983,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_GPIO_F,14,F_FUNC_SPEED,bad,,,
LED_I2C_AtSpeedVmaxOK_st,X_OKA_LED_I2C,984,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_I2C_F,14,F_FUNC_SPEED,bad,,,
LED_INTC_AtSpeedVmaxOK_st,X_OKA_LED_INTC,985,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_INTC_F,14,F_FUNC_SPEED,bad,,,
LED_IQN_AtSpeedVmaxOK_st,X_OKA_LED_IQN,986,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_IQN_F,14,F_FUNC_SPEED,bad,,,
LED_MMAP_AtSpeedVmaxOK_st,X_OKA_LED_MMAP,987,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_MMAP_F,14,F_FUNC_SPEED,bad,,,
LED_MPU_AtSpeedVmaxOK_st,X_OKA_LED_MPU,988,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_MPU_F,14,F_FUNC_SPEED,bad,,,
LED_MSMC_AtSpeedVmaxOK_st,X_OKA_LED_MSMC,989,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_MSMC_F,14,F_FUNC_SPEED,bad,,,
LED_NSS_AtSpeedVmaxOK_st,X_OKA_LED_NSS,990,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_NSS_F,14,F_FUNC_SPEED,bad,,,
LED_OSR_AtSpeedVmaxOK_st,X_OKA_LED_OSR,991,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_OSR_F,14,F_FUNC_SPEED,bad,,,
LED_PCIE_AtSpeedVmaxOK_st,X_OKA_LED_PCIE,992,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_PCIE_F,14,F_FUNC_SPEED,bad,,,
LED_PLLCTRL_AtSpeedVmaxOK_st,X_OKA_LED_PLLCTRL,993,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_PLLCTRL_F,14,F_FUNC_SPEED,bad,,,
LED_PSC_AtSpeedVmaxOK_st,X_OKA_LED_PSC,994,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_PSC_F,14,F_FUNC_SPEED,bad,,,
LED_QMGR_AtSpeedVmaxOK_st,X_OKA_LED_QMGR,995,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_QMGR_F,14,F_FUNC_SPEED,bad,,,
LED_RAC_AtSpeedVmaxOK_st,X_OKA_LED_RAC,996,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_RAC_F,14,F_FUNC_SPEED,bad,,,
LED_SEC_CTL_AtSpeedVmaxOK_st,X_OKA_LED_SEC_CTL,997,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_SEC_CTL_F,14,F_FUNC_SPEED,bad,,,
LED_SEMAPHORE_AtSpeedVmaxOK_st,X_OKA_LED_SEMAPHORE,998,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_SEMAPHORE_F,14,F_FUNC_SPEED,bad,,,
LED_SMARTREFLEX_AtSpeedVmaxOK_st,X_OKA_LED_SMARTREFLEX,999,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_SMARTREFLEX_F,14,F_FUNC_SPEED,bad,,,
LED_SPI_AtSpeedVmaxOK_st,X_OKA_LED_SPI,1000,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_SPI_F,14,F_FUNC_SPEED,bad,,,
LED_TAC_AtSpeedVmaxOK_st,X_OKA_LED_TAC,1001,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_TAC_F,14,F_FUNC_SPEED,bad,,,
LED_TCP_AtSpeedVmaxOK_st,X_OKA_LED_TCP,1002,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_TCP_F,14,F_FUNC_SPEED,bad,,,
LED_TETRIS_AtSpeedVmaxOK_st,X_OKA_LED_TETRIS,1003,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_TETRIS_F,14,F_FUNC_SPEED,bad,,,
LED_TIMER_AtSpeedVmaxOK_st,X_OKA_LED_TIMER,1004,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_TIMER_F,14,F_FUNC_SPEED,bad,,,
LED_TRACER_AtSpeedVmaxOK_st,X_OKA_LED_TRACER,1005,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_TRACER_F,14,F_FUNC_SPEED,bad,,,
LED_UART_AtSpeedVmaxOK_st,X_OKA_LED_UART,1006,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_UART_F,14,F_FUNC_SPEED,bad,,,
LED_USB_AtSpeedVmaxOK_st,X_OKA_LED_USB,1007,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_USB_F,14,F_FUNC_SPEED,bad,,,
LED_USIM_AtSpeedVmaxOK_st,X_OKA_LED_USIM,1008,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_USIM_F,14,F_FUNC_SPEED,bad,,,
LED_VCP_AtSpeedVmaxOK_st,X_OKA_LED_VCP,1009,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_LED_VCP_F,14,F_FUNC_SPEED,bad,,,
PB_PLL_CHIP_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_CHIP,1010,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_CHIP_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_DFE_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_DFE,1011,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_DFE_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_GEM_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_GEM,1012,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_GEM_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_MSMC_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_MSMC,1013,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_MSMC_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_NSS_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_NSS,1014,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_NSS_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_ROM_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_ROM,1015,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_ROM_F,15,F_FUNC_SRAM,bad,,,
PB_PLL_TETRIS_AtSpeedVmaxOK_st,XM_OKA_PB_PLL_TETRIS,1016,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PB_PLL_TETRIS_F,15,F_FUNC_SRAM,bad,,,
PHY_DDR_AC_AtSpeedVmaxOK_st,X_OKA_PHY_DDR_AC,1021,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_DDR_AC_F,11,F_PARA,bad,,,
PHY_DDR_AC_BU_AtSpeedVmaxOK_st,X_OKA_PHY_DDR_AC_BU,1022,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_DDR_AC_BU_F,11,F_PARA,bad,,,
PHY_DDR_DAT_AtSpeedVmaxOK_st,X_OKA_PHY_DDR_DAT,1023,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_DDR_DAT_F,11,F_PARA,bad,,,
PHY_DRFE0_AtSpeedVmaxOK_st,X_OKA_PHY_DRFE0,1024,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_DRFE0_F,11,F_PARA,bad,,,
PHY_DRFE1_AtSpeedVmaxOK_st,X_OKA_PHY_DRFE1,1025,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_DRFE1_F,11,F_PARA,bad,,,
PHY_PCIE_AtSpeedVmaxOK_st,X_OKA_PHY_PCIE,1026,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_PCIE_F,11,F_PARA,bad,,,
PHY_SGMII_AtSpeedVmaxOK_st,X_OKA_PHY_SGMII,1027,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_SGMII_F,11,F_PARA,bad,,,
PHY_USB_AtSpeedVmaxOK_st,X_OKA_PHY_USB,1028,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_PHY_USB_F,11,F_PARA,bad,,,
TRANS_COV_AtSpeedVmaxOK_st,XT_OKA_TRANS_COV,1029,1,1,1,GE,LE,1,1,1,Bool,15,FUNC_OK_TRANS_COV_F,14,F_FUNC_SPEED,bad,,,
