"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode",,,,,,,,,,,,,,,
,,,,,,,,1000,"OS_CRES_F",8,"F_OS","bad",,"no",
,,,,,,,,1001,"OS_SHRT_VDD_F",8,"F_OS","bad",,"no",
,,,,,,,,1002,"OS_SHRT_VDD_POST_F",8,"F_OS","bad",,"no",
,,,,,,,,1003,"OS_OPEN_F",8,"F_OS","bad",,"no",
,,,,,,,,1004,"OS_SHORT_PIN_F",8,"F_OS","bad",,"no",
,,,,,,,,1010,"ODP_RingOsc_F",8,"F_OS","bad",,"no",
,,,,,,,,1011,"ODP_Icap_F",8,"F_OS","bad",,"no",
,,,,,,,,1012,"ODP_Via_F",8,"F_OS","bad",,"no",
,,,,,,,,1013,"ODP_XtrIdrive_F",8,"F_OS","bad",,"no",
,,,,,,,,1014,"ODP_XtrVt_F",8,"F_OS","bad",,"no",
,,,,,,,,1050,"F_CTCS_CONTROL",7,"F_ERROR","bad",,"no",
,,,,,,,,1051,"F_CTCS_INIT",7,"F_ERROR","bad",,"no",
,,,,,,,,1052,"F_CTCS_PURGE",7,"F_ERROR","bad",,"no",
,,,,,,,,1053,"F_CTCS_READ",7,"F_ERROR","bad",,"no",
,,,,,,,,1054,"F_CTCS_START",7,"F_ERROR","bad",,"no",
,,,,,,,,1055,"F_THERM_CRITICAL",7,"F_ERROR","bad",,"no",
,,,,,,,,1056,"F_THERM_RANGE",7,"F_ERROR","bad",,"no",
,,,,,,,,1057,"F_THERMAL_INIT",7,"F_ERROR","bad",,"no",
,,,,,,,,1058,"F_THERMDIODE",7,"F_ERROR","bad",,"no",
,,,,,,,,1059,"F_THERMDIODE2",7,"F_ERROR","bad",,"no",
,,,,,,,,1060,"F_TIMECOOLING",7,"F_ERROR","bad",,"no",
,,,,,,,,1061,"F_WARMUP",7,"F_ERROR","bad",,"no",
,,,,,,,,1100,"FUSE_DIEID_PostRead_F",10,"F_FUSE","bad",,"no",
,,,,,,,,1101,"FUSE_InitCheck_F",10,"F_FUSE","bad",,"no",
,,,,,,,,1102,"FUSE_RunAutoload_F",10,"F_FUSE","bad",,"no",
,,,,,,,,1103,"FUSE_ProgramVIDSpeeds_F",10,"F_FUSE","bad",,"no",
,,,,,,,,1104,"FUSE_VerifyVIDSpeeds_F",10,"F_FUSE","bad",,"no",
,,,,,,,,1150,"LEAK_IDDQ_F",12,"F_LEAK","bad",,"no",
,,,,,,,,1200,"FUNC_J_BRDG_ALL_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1201,"FUNC_J_BSCAN_RPC_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1202,"FUNC_J_CHAIN_SAF_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1203,"FUNC_J_CHAIN_SAF_1_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1204,"FUNC_J_CHAIN_SAF_2_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1205,"FUNC_J_CHAIN_SAF_3_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1206,"FUNC_J_CHAIN_SAF_4_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1207,"FUNC_J_CHAIN_SAF_5_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1208,"FUNC_J_CHAIN_SAF_6_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1209,"FUNC_J_CHAIN_TRANS_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1210,"FUNC_J_SAF_ALL_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1211,"FUNC_J_SAF_ALL_1_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1212,"FUNC_J_SAF_ALL_2_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1213,"FUNC_J_SAF_FULCHP_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1214,"FUNC_OK_BRDG_ALL_F",13,"F_FUNC","bad",,"no",
,,,,,,,,1215,"FUNC_OK_BSCAN_RPC_F",13,"F_FUNC","bad",,"no",
