FlakyPatternLabel,FlakyPatternCorner,FlakyInsertion,Suite name,Test name
SaC16P01c0_____LM10_002,VmaxOK,*,,
SaC16P01c0_____LM10_002,VminNSp,*,,
usb3_tx_ref_vreftune0,VmaxOK,*,,
usb3_tx_ref_vreftune4,SRVminOD,*,,
wimcatf3121a0_cmda1000_a,VmaxOK,*,,
wimcatf6158a0_cmda1000_a,VmaxOK,*,,
wimcatf7019az_cmda1000_a,VmaxOK,*,,
wimcatf7021az_cmda1000_a,VmaxOK,*,,
wimcatf7023az_cmda1000_a,VmaxOK,*,,
wimcatf7024az_cmda1000_a,VmaxOK,*,,
wimcatf7025az_cmda1000_a,VmaxOK,*,,
wimcatf7029az_cmda1000_a,VmaxOK,*,,
wimcatf7030az_cmda1000_a,VmaxOK,*,,
wimcatf7031az_cmda1000_a,VmaxOK,*,,
wimcatf7067a0_cmda1000_a,VmaxOK,*,,
wimcatf3121a0_cmda1000_a,SRVminOD,*,,
wimcatf6158a0_cmda1000_a,SRVminOD,*,,
wimcatf7019az_cmda1000_a,SRVminOD,*,,
wimcatf7021az_cmda1000_a,SRVminOD,*,,
wimcatf7023az_cmda1000_a,SRVminOD,*,,
wimcatf7024az_cmda1000_a,SRVminOD,*,,
wimcatf7025az_cmda1000_a,SRVminOD,*,,
wimcatf7029az_cmda1000_a,SRVminOD,*,,
wimcatf7030az_cmda1000_a,SRVminOD,*,,
wimcatf7031az_cmda1000_a,SRVminOD,*,,
wimcatf7067a0_cmda1000_a,SRVminOD,*,,
wenagse6431yz_cmmg0004_r,VmaxOK,*,,
wenagse6432yz_cmmg0004_r,VmaxOK,*,,
wenagse6433yz_cmmg0004_r,VmaxOK,*,,
wenagse6434yz_cmmg0004_r,VmaxOK,*,,
wenagse6435yz_cmmg0004_r,VmaxOK,*,,
wenagse6431yz_cmmg0004_r,SRVminOD,*,,
wenagse6432yz_cmmg0004_r,SRVminOD,*,,
wenagse6433yz_cmmg0004_r,SRVminOD,*,,
wenagse6434yz_cmmg0004_r,SRVminOD,*,,
wenagse6435yz_cmmg0004_r,SRVminOD,*,,
wekpis0101a0_cmda1000_r,VmaxOK,*,,
wekpis0101b0_cmda1000_r,VmaxOK,*,,
wempis1001a0_cmdg1000_r,VmaxOK,*,,
wempis1001b0_cmdg1000_r,VmaxOK,*,,
wempis1001c0_cmdg1000_r,VmaxOK,*,,
wekpis0101a0_cmda1000_r,SRVminOD,*,,
wekpis0101b0_cmda1000_r,SRVminOD,*,,
wempis1001a0_cmdg1000_r,SRVminOD,*,,
wempis1001b0_cmdg1000_r,SRVminOD,*,,
wempis1001c0_cmdg1000_r,SRVminOD,*,,
winpjf0135a0_cmdg1000_r,VmaxOK,*,,
winpjf0136a0_cmdg1000_r,VmaxOK,*,,
winpjf0139a0_cmdg1000_r,VmaxOK,*,,
winpjf0141a0_cmdg1000_r,VmaxOK,*,,
winpjf0142a0_cmdg1000_r,VmaxOK,*,,
winpjf0143a0_cmdg1000_r,VmaxOK,*,,
winpjf0144a0_cmdg1000_r,VmaxOK,*,,
winpjf0145a0_cmdg1000_r,VmaxOK,*,,
winpjf3200a0_cmdg1000_r,VmaxOK,*,,
winpjf3220a0_cmdg1000_r,VmaxOK,*,,
winpjf3221a0_cmdg1000_r,VmaxOK,*,,
winpjf3222a0_cmdg1000_r,VmaxOK,*,,
winpjf4320a0_cmdg1000_r,VmaxOK,*,,
winpjr4000a0_cmdg1000_r,VmaxOK,*,,
winpjr4004a0_cmdg1000_r,VmaxOK,*,,
winpjr4005a0_cmda1000_r,VmaxOK,*,,
winpjr4005a0_cmdg1000_r,VmaxOK,*,,
winpjs0001a0_cmdg1000_r,VmaxOK,*,,
winpjs0200a0_cmdg1000_r,VmaxOK,*,,
winpjs0201a0_cmdg1000_r,VmaxOK,*,,
winpjs0203a0_cmdg1000_r,VmaxOK,*,,
winpjs0204a0_cmdg1000_r,VmaxOK,*,,
winpjs0210a0_cmdg1000_r,VmaxOK,*,,
winpjs0211a0_cmdg1000_r,VmaxOK,*,,
winpjs0212a0_cmdg1000_r,VmaxOK,*,,
winpjs0213a0_cmdg1000_r,VmaxOK,*,,
winpjs0214a0_cmdg1000_r,VmaxOK,*,,
