"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","","","","","","",""
"LED_TETRIS_FreqSearch_st","FLS_OMAFX_LED_ARM_AA","300000","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_TETRIS_FreqSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_FreqSearch_st","FLS_OMAFX_LED_GEM_AG","300050","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_GEM_FreqSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_XM_FreqSearch_st","FLS_OMAFX_LED_XM_AG","300100","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_GEM_XM_FreqSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_RTA_M0_1DO_FreqSearch_st","FLS_OMAFX_RTA_M0_1DO","300150","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","PB_PLL_RTA_M0_1DO_FreqSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_TETRIS_1DO_FreqSearch_st","FLS_OMAFX_TETRIS_1DO","300200","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","PB_PLL_TETRIS_1DO_FreqSearch_F","14","F_FUNC","bad","","",""
"TFT_SPEED_FreqSearch_st","FLS_OMAFX_TRANS","300250","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","TFT_SPEED_FreqSearch_F","14","F_FUNC","bad","","",""
"TFT_SPEED_1_FreqSearch_st","FLS_OMAFX_TRANS_1","300300","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","TFT_SPEED_1_FreqSearch_F","14","F_FUNC","bad","","",""
"LED_TETRIS_FreqSearch_st","FLSc_OMAFX_LED_ARM_AA","310000","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_TETRIS_FreqSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_FreqSearch_st","FLSc_OMAFX_LED_GEM_AG","310050","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_GEM_FreqSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_XM_FreqSearch_st","FLSc_OMAFX_LED_XM_AG","310100","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","LED_GEM_XM_FreqSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_RTA_M0_1DO_FreqSearch_st","FLSc_OMAFX_RTA_M0_1DO","310150","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","PB_PLL_RTA_M0_1DO_FreqSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_TETRIS_1DO_FreqSearch_st","FLSc_OMAFX_TETRIS_1DO","310200","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","PB_PLL_TETRIS_1DO_FreqSearch_F","14","F_FUNC","bad","","",""
"TFT_SPEED_FreqSearch_st","FLSc_OMAFX_TRANS","310250","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","TFT_SPEED_FreqSearch_F","14","F_FUNC","bad","","",""
"TFT_SPEED_1_FreqSearch_st","FLSc_OMAFX_TRANS_1","310300","-9999","-9999","-9999","GE","LE","9998","9998","9998","MHz","15","TFT_SPEED_1_FreqSearch_F","14","F_FUNC","bad","","",""
