"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","","","","","","",""
"BRDG_ALL_FuncVmaxOK_st","XA_OKA_BRDG_ALL","960","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_BRDG_ALL_F","13","F_FUNC","bad","","",""
"BSCAN_RPC_FuncVmaxOK_st","X_OKA_BSCAN_RPC","961","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_BSCAN_RPC_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_FuncVmaxOK_st","XA_OKA_CHAIN_SAF","962","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_1_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_1","963","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_1_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_2_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_2","964","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_2_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_3_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_3","965","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_3_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_4_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_4","966","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_4_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_5_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_5","967","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_5_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_6_FuncVmaxOK_st","XA_OKA_CHAIN_SAF_6","968","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_SAF_6_F","13","F_FUNC","bad","","",""
"CHAIN_TRANS_FuncVmaxOK_st","XD_OKA_CHAIN_TRANS","969","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_CHAIN_TRANS_F","13","F_FUNC","bad","","",""
"SAF_ALL_FuncVmaxOK_st","XA_OKA_SAF_ALL","970","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_SAF_ALL_F","13","F_FUNC","bad","","",""
"SAF_ALL_1_FuncVmaxOK_st","XA_OKA_SAF_ALL_1","971","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_SAF_ALL_1_F","13","F_FUNC","bad","","",""
"SAF_ALL_2_FuncVmaxOK_st","XA_OKA_SAF_ALL_2","972","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_SAF_ALL_2_F","13","F_FUNC","bad","","",""
"SAF_FULCHP_FuncVmaxOK_st","XA_OKA_SAF_FULCHP","973","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_OK_SAF_FULCHP_F","13","F_FUNC","bad","","",""
