"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","","","","","","",""
"BRDG_ALL_FuncVmin_st","XA_JB_BRDG_ALL","860","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_BRDG_ALL_F","13","F_FUNC","bad","","",""
"BSCAN_RPC_FuncVmin_st","X_JB_BSCAN_RPC","861","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_BSCAN_RPC_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_FuncVmin_st","XA_JB_CHAIN_SAF","862","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_1_FuncVmin_st","XA_JB_CHAIN_SAF_1","863","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_1_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_2_FuncVmin_st","XA_JB_CHAIN_SAF_2","864","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_2_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_3_FuncVmin_st","XA_JB_CHAIN_SAF_3","865","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_3_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_4_FuncVmin_st","XA_JB_CHAIN_SAF_4","866","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_4_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_5_FuncVmin_st","XA_JB_CHAIN_SAF_5","867","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_5_F","13","F_FUNC","bad","","",""
"CHAIN_SAF_6_FuncVmin_st","XA_JB_CHAIN_SAF_6","868","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_SAF_6_F","13","F_FUNC","bad","","",""
"CHAIN_TRANS_FuncVmin_st","XD_JB_CHAIN_TRANS","869","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_CHAIN_TRANS_F","13","F_FUNC","bad","","",""
"SAF_ALL_FuncVmin_st","XA_JB_SAF_ALL","870","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_SAF_ALL_F","13","F_FUNC","bad","","",""
"SAF_ALL_1_FuncVmin_st","XA_JB_SAF_ALL_1","871","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_SAF_ALL_1_F","13","F_FUNC","bad","","",""
"SAF_ALL_2_FuncVmin_st","XA_JB_SAF_ALL_2","872","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_SAF_ALL_2_F","13","F_FUNC","bad","","",""
"SAF_FULCHP_FuncVmin_st","XA_JB_SAF_FULCHP","873","1","1","1","GE","LE","1","1","1","Bool","15","FUNC_J_SAF_FULCHP_F","13","F_FUNC","bad","","",""
