"ODPIdriveInput","Index","EnableTW","Xtr_Mode","NullDut","Xtr_Enable","Xtr_Type","Chip_Select","Chain","iforce_vsense_sel","Ioff","vForce (V)","vRange(V)","IVPair","Suitename","Testname"
"O_IDL_8XSNMOS_X000",0,"Yes",,"0b100","0b10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X001",1,"Yes",,"0b100","0b01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X002",2,"Yes",,"0b100","0b00100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X003",3,"Yes",,"0b100","0b00010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X004",4,"Yes",,"0b100","0b00001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X005",5,"Yes",,"0b100","0b00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X006",6,"Yes",,"0b100","0b00000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X007",7,"Yes",,"0b100","0b00000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X008",8,"Yes",,"0b100","0b00000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X009",9,"Yes",,"0b100","0b00000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
"O_IDL_8XSNMOS_X010",10,"Yes",,"0b100","0b00000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0b100","0b111000","0b000000000","0b10000000","0b0",0.05,1.15,1,,
