"ODPRingOscInput","TWName2","Index","EnableTW1","EnableTW2","IRO_Select","RO2_Select","RO1_Select","Osc_enable","Chip_Select","Chain","iforce_vsense_sel","Suitename","Testname"
"O_GRO_8XS_INVF1","O_GRO_8XL_RELLRGINVF1BI",1,"Yes","Yes","0b0000","0b0000000","0b0101110","0b10000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_INVX","O_GRO_8X_RELINV1P5VBI",2,"Yes","Yes","0b0000","0b1000000","0b1101110","0b01000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_INVF1FO3","O_GRO_8X_RELINV1P8VBI",3,"Yes","Yes","0b0000","0b0100000","0b0011110","0b00100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_INVF1FO5","O_IRO_8X_INVF1NL",4,"Yes","Yes","0b0000","0b1100000","0b1011110","0b00010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_INVF10","O_IRO_8X_INVF1M45010",5,"Yes","Yes","0b0000","0b0010000","0b0111110","0b00001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_ND2F0P5","O_IRO_8X_INVF1M45030",6,"Yes","Yes","0b0000","0b1010000","0b1111110","0b00000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_ND2F2P5","O_IRO_8X_INVF1M45090",7,"Yes","Yes","0b0000","0b0110000","0b0000001","0b00000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_ND2F2P5FO5","O_IRO_8X_INVF10NL",8,"Yes","Yes","0b0000","0b1110000","0b1000001","0b00000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_NR2F0P5","O_IRO_8X_INVF10M45030",9,"Yes","Yes","0b0000","0b0001000","0b0100001","0b00000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_NR2F2P5","O_IRO_8X_INVF10M410030",10,"Yes","Yes","0b0000","0b1001000","0b1100001","0b00000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_NR2F2P5FO5","O_IRO_8X_INVF10M45090",11,"Yes","Yes","0b0000","0b0101000","0b0010001","0b00000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_AOI22F0P5","O_IRO_8X_INVF1M410010",12,"Yes","Yes","0b0000","0b1101000","0b1010001","0b00000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XS_MUX2F12SR","O_IRO_8X_INVF1M55010",13,"Yes","Yes","0b0000","0b0011000","0b0110001","0b00000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_INVF1","O_IRO_8X_INVF1M510010",14,"Yes","Yes","0b0000","0b1011000","0b1110001","0b00000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_INVX","O_IRO_8X_INVF1M65010",15,"Yes","Yes","0b0000","0b0111000","0b0001001","0b00000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_INVF1FO3","O_IRO_8X_INVF1M610010",16,"Yes","Yes","0b0000","0b1111000","0b1001001","0b00000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_INVF1FO5","O_IRO_8X_INVF1M7Y10030",17,"Yes","Yes","0b0000","0b0000100","0b0101001","0b00000000000000001000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_INVF10","O_IRO_8X_INVF1M7Y20030",18,"Yes","Yes","0b0000","0b1000100","0b1101001","0b00000000000000000100000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
"O_GRO_8XH_ND2F0P5","O_IRO_8X_INVF10M7Y10030",19,"Yes","Yes","0b0000","0b0100100","0b0011001","0b00000000000000000010000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000","0b000000","0b00000",,,
