"ODPStartPoint","BitsIndex","StartingPoint","Suitename","Testname"
"#","","","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","0(NullDut)","40334","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","1(Xtr_Enable)","40337","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","2(Xtr_Type)","40473","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","3(Chip_Select)","40478","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","4(Chain)","40484","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","5(iforce_vsense_sel)","40494","",""
"ODP_XTR_VIA_PMC_1_pNONASYNC1","6(Ioff)","40503","",""
"ODP_RO_PMC_1_pNONASYNC1","0(IRO_Select)","40183","",""
"ODP_RO_PMC_1_pNONASYNC1","1(RO2_Select)","40187","",""
"ODP_RO_PMC_1_pNONASYNC1","2(RO1_Select)","40194","",""
"ODP_RO_PMC_1_pNONASYNC1","3(Osc_Enable)","40202","",""
"ODP_RO_PMC_1_pNONASYNC1","4(Down_Cntr)","40456","",""
"ODP_RO_PMC_1_pNONASYNC1","5(DIV_Select)","40472","",""
"ODP_RO_PMC_1_pNONASYNC1","6(Chip_Select)","40478","",""
"ODP_RO_PMC_1_pNONASYNC1","7(Chain)","40484","",""
"ODP_RO_PMC_2_pNONASYNC1","0(IRO_Select)","40183","",""
"ODP_RO_PMC_2_pNONASYNC1","1(RO2_Select)","40187","",""
"ODP_RO_PMC_2_pNONASYNC1","2(RO1_Select)","40194","",""
"ODP_RO_PMC_2_pNONASYNC1","3(Osc_Enable)","40202","",""
"ODP_RO_PMC_2_pNONASYNC1","4(Down_Cntr)","40456","",""
"ODP_RO_PMC_2_pNONASYNC1","5(DIV_Select)","40472","",""
"ODP_RO_PMC_2_pNONASYNC1","6(Chip_Select)","40478","",""
"ODP_RO_PMC_2_pNONASYNC1","7(Chain)","40484","",""
