"SpeedSortSuites","Insertion","Test name","Suite name"
"LED_BCP_AtSpeedSRVminOD_st","*","",""
"LED_BOOTCFG_AtSpeedSRVminOD_st","*","",""
"LED_DDR_AtSpeedSRVminOD_st","*","",""
"LED_DFT_AtSpeedSRVminOD_st","*","",""
"LED_EDMA_AtSpeedSRVminOD_st","*","",""
"LED_EMIF_AtSpeedSRVminOD_st","*","",""
"LED_ETB_AtSpeedSRVminOD_st","*","",""
"LED_FFTC_AtSpeedSRVminOD_st","*","",""
"LED_GEM_AtSpeedSRVminOD_st","*","",""
"LED_GPIO_AtSpeedSRVminOD_st","*","",""
"LED_I2C_AtSpeedSRVminOD_st","*","",""
"LED_INTC_AtSpeedSRVminOD_st","*","",""
"LED_IQN_AtSpeedSRVminOD_st","*","",""
"LED_MMAP_AtSpeedSRVminOD_st","*","",""
"LED_MPU_AtSpeedSRVminOD_st","*","",""
"LED_MSMC_AtSpeedSRVminOD_st","*","",""
"LED_OSR_AtSpeedSRVminOD_st","*","",""
"LED_PCIE_AtSpeedSRVminOD_st","*","",""
"LED_PLLCTRL_AtSpeedSRVminOD_st","*","",""
"LED_PSC_AtSpeedSRVminOD_st","*","",""
"LED_QMGR_AtSpeedSRVminOD_st","*","",""
"LED_RAC_AtSpeedSRVminOD_st","*","",""
"LED_SEC_CTL_AtSpeedSRVminOD_st","*","",""
"LED_SEMAPHORE_AtSpeedSRVminOD_st","*","",""
"LED_SPI_AtSpeedSRVminOD_st","*","",""
"LED_TAC_AtSpeedSRVminOD_st","*","",""
"LED_TCP_AtSpeedSRVminOD_st","*","",""
"LED_TETRIS_AtSpeedSRVminOD_st","*","",""
"LED_TIMER_AtSpeedSRVminOD_st","*","",""
"LED_TRACER_AtSpeedSRVminOD_st","*","",""
"LED_UART_AtSpeedSRVminOD_st","*","",""
"LED_USB_AtSpeedSRVminOD_st","*","",""
"LED_USIM_AtSpeedSRVminOD_st","*","",""
"LED_VCP_AtSpeedSRVminOD_st","*","",""
"PB_PLL_CHIP_AtSpeedSRVminOD_st","*","",""
"PB_PLL_GEM_AtSpeedSRVminOD_st","*","",""
"PB_PLL_MSMC_AtSpeedSRVminOD_st","*","",""
"PB_PLL_ROM_AtSpeedSRVminOD_st","*","",""
"PB_PLL_TETRIS_AtSpeedSRVminOD_st","*","",""
"TRANS_FULCHIP_AtSpeedSRVminOD_st","*","",""
"TRANS_P01_AtSpeedSRVminOD_st","*","",""
"TRANS_P01_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P02_AtSpeedSRVminOD_st","*","",""
"TRANS_P02_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P03_AtSpeedSRVminOD_st","*","",""
"TRANS_P03_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P04_AtSpeedSRVminOD_st","*","",""
"TRANS_P04_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P05_AtSpeedSRVminOD_st","*","",""
"TRANS_P05_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P06_AtSpeedSRVminOD_st","*","",""
"TRANS_P07_AtSpeedSRVminOD_st","*","",""
"TRANS_P07_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P08_AtSpeedSRVminOD_st","*","",""
"TRANS_P08_1_AtSpeedSRVminOD_st","*","",""
"TRANS_P09_AtSpeedSRVminOD_st","*","",""
"TRANS_P09_1_AtSpeedSRVminOD_st","*","",""
