"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","","","","","","",""
"SupplyShortsPre_st","I_B_SP_VDDCORE","596","-10","-10","-10","GE","LE","10","10","40","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDUHI","597","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDSLO","598","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDRAM","599","-10","-10","-10","GE","LE","20","20","20","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDSHI","600","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDDPLL","601","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDDDR","602","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDIO","603","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDULO","604","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDNWA","605","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VPP","606","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
"SupplyShortsPre_st","I_B_SP_VDDPLL","607","-10","-10","-10","GE","LE","10","10","10","mA","9","OS_SHRT_VDD_F","8","F_OS","bad","","no",""
