Timing_corner,TestType,Spec_name,Value,Suite name,Test name
LED_pASYNC4_WFT5X8_4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.060,0,0
LED_pASYNC4_WFT5X8_4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
LED_pASYNC4_WFT5X8_4_MPT_12,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.060,0,0
LED_pASYNC4_WFT5X8_4_MPT_12,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
LED_pASYNC4_WFT5X8_4_MPT_14,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.060,0,0
LED_pASYNC4_WFT5X8_4_MPT_14,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
LED_PHY_DDR_pASYNC3_WFT5X8_4_MPT,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_DDR_pASYNC3_WFT5X8_4_MPT,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_DRFE_pASYNC3_WFT5X8_4_MPT,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_DRFE_pASYNC3_WFT5X8_4_MPT,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_PCIE_pASYNC3_WFT5X8_4_MPT,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_PCIE_pASYNC3_WFT5X8_4_MPT,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC3,1.000,0,0
LED_PHY_SGMII_pASYNC5_WFT5X8_4_MPT,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC5,1.000,0,0
LED_PHY_SGMII_pASYNC5_WFT5X8_4_MPT,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC5,1.000,0,0
LED_PHY_USB_pASYNC1_WFT10X8_4_MPT,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC1,1.000,0,0
LED_PHY_USB_pASYNC1_WFT10X8_4_MPT,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC1,1.000,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.055,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_12,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.055,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_12,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_14,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC4,1.055,0,0
LED_TETRIS_pASYNC4_WFT5X8_4_MPT_14,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC4,1.010,0,0
PB_PLL_DFE_pASYNC2_WFT8X4_MPT_09,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_DFE_pASYNC2_WFT8X4_MPT_09,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_DFE_pASYNC2_WFT8X4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_DFE_pASYNC2_WFT8X4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_NSS_pASYNC2_WFT9X4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_NSS_pASYNC2_WFT9X4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_12,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_12,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_14,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_pASYNC2_WFT7X4_MPT_14,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_12,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_12,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_14,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC2,1.040,0,0
PB_PLL_TETRIS_pASYNC2_WFT6X4_MPT_14,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC2,1.010,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_085,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC6,1.055,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_085,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC6,1.010,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_089,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC6,1.055,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_089,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC6,1.010,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_10,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC6,1.055,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_10,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC6,1.010,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_12,FT_RPC_HT|FT_RPC_LT,GuardBandRatio@pASYNC6,1.055,0,0
TRANS_1_pASYNC6_WFT3X4_MPT_12,PB_RPC_HT|PB_RPC_LT|PB_RPC_RT,GuardBandRatio@pASYNC6,1.010,0,0
