"Suite name","Test name","Test number","Lsl","Lsl","Lsl","Lsl_typ","Usl_typ","Usl","Usl","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","TEMP_COLD_DEG","TEMP_ROOM_DEG","TEMP_HOT_DEG","","","","","","","","",""
"SAF_C_P00_P10_VminSearch_st","VLS_JAFXPA_CHAIN_c0_P00_P10","200000","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_C_P00_P10_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_C_P00_P10_1_VminSearch_st","VLS_JAFXPA_CHAIN_c0_P00_P10_1","200050","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_C_P00_P10_1_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_P00_P10_VminSearch_st","VLS_JAFXPA_P00_P10","200100","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_P00_P10_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_P00_P10_1_VminSearch_st","VLS_JAFXPA_P00_P10_1","200150","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_P00_P10_1_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_FULCHP_VminSearch_st","VLS_JAFXPA_FULCHP","200200","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_FULCHP_VminSearch_F","13","F_FUNC","bad","","",""
"LED_TETRIS_VminSearch_st","VLS_OMAFXPH_LED_ARM_AA","200250","-2","-2","-2","GE","LE","8","8","8","V","15","LED_TETRIS_VminSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_VminSearch_st","VLS_OMAFXPH_LED_GEM_AG","200300","-2","-2","-2","GE","LE","8","8","8","V","15","LED_GEM_VminSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_XM_VminSearch_st","VLS_OMAFXPH_LED_XM_AG","200350","-2","-2","-2","GE","LE","8","8","8","V","15","LED_GEM_XM_VminSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_RTA_M0_1DO_VminSearch_st","VLS_OMAFXPH_RTA_M0_1DO","200400","-2","-2","-2","GE","LE","8","8","8","V","15","PB_PLL_RTA_M0_1DO_VminSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_TETRIS_1DO_VminSearch_st","VLS_OMAFXPH_TETRIS_1DO","200450","-2","-2","-2","GE","LE","8","8","8","V","15","PB_PLL_TETRIS_1DO_VminSearch_F","14","F_FUNC","bad","","",""
"TRANS_P08_VminSearch_st","VLS_OMAFXPH_TRANS_P08","200500","-2","-2","-2","GE","LE","8","8","8","V","15","TRANS_P08_VminSearch_F","14","F_FUNC","bad","","",""
"SAF_C_P00_P10_VminSearch_st","VLSc_JAFXPA_CHAIN_c0_P00_P10","210000","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_C_P00_P10_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_C_P00_P10_1_VminSearch_st","VLSc_JAFXPA_CHAIN_c0_P00_P10_1","210050","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_C_P00_P10_1_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_P00_P10_VminSearch_st","VLSc_JAFXPA_P00_P10","210100","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_P00_P10_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_P00_P10_1_VminSearch_st","VLSc_JAFXPA_P00_P10_1","210150","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_P00_P10_1_VminSearch_F","13","F_FUNC","bad","","",""
"SAF_FULCHP_VminSearch_st","VLSc_JAFXPA_FULCHP","210200","-2","-2","-2","GE","LE","8","8","8","V","15","SAF_FULCHP_VminSearch_F","13","F_FUNC","bad","","",""
"LED_TETRIS_VminSearch_st","VLSc_OMAFXPH_LED_ARM_AA","210250","-2","-2","-2","GE","LE","8","8","8","V","15","LED_TETRIS_VminSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_VminSearch_st","VLSc_OMAFXPH_LED_GEM_AG","210300","-2","-2","-2","GE","LE","8","8","8","V","15","LED_GEM_VminSearch_F","14","F_FUNC","bad","","",""
"LED_GEM_XM_VminSearch_st","VLSc_OMAFXPH_LED_XM_AG","210350","-2","-2","-2","GE","LE","8","8","8","V","15","LED_GEM_XM_VminSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_RTA_M0_1DO_VminSearch_st","VLSc_OMAFXPH_RTA_M0_1DO","210400","-2","-2","-2","GE","LE","8","8","8","V","15","PB_PLL_RTA_M0_1DO_VminSearch_F","14","F_FUNC","bad","","",""
"PB_PLL_TETRIS_1DO_VminSearch_st","VLSc_OMAFXPH_TETRIS_1DO","210450","-2","-2","-2","GE","LE","8","8","8","V","15","PB_PLL_TETRIS_1DO_VminSearch_F","14","F_FUNC","bad","","",""
"TRANS_P08_VminSearch_st","VLSc_OMAFXPH_TRANS_P08","210500","-2","-2","-2","GE","LE","8","8","8","V","15","TRANS_P08_VminSearch_F","14","F_FUNC","bad","","",""
