"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
LED_BCP_AtSpeedVmaxOD_st,X_KA_LED_BCP,383,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_BOOTCFG_AtSpeedVmaxOD_st,X_KA_LED_BOOTCFG,384,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_DDR_AtSpeedVmaxOD_st,X_KA_LED_DDR,385,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_DFT_AtSpeedVmaxOD_st,X_KA_LED_DFT,386,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_EDMA_AtSpeedVmaxOD_st,X_KA_LED_EDMA,387,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_EMIF_AtSpeedVmaxOD_st,X_KA_LED_EMIF,388,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_ETB_AtSpeedVmaxOD_st,X_KA_LED_ETB,389,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_FFTC_AtSpeedVmaxOD_st,X_KA_LED_FFTC,390,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_GEM_AtSpeedVmaxOD_st,X_KA_LED_GEM,391,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_GPIO_AtSpeedVmaxOD_st,X_KA_LED_GPIO,392,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_I2C_AtSpeedVmaxOD_st,X_KA_LED_I2C,393,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_INTC_AtSpeedVmaxOD_st,X_KA_LED_INTC,394,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_IQN_AtSpeedVmaxOD_st,X_KA_LED_IQN,395,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_MMAP_AtSpeedVmaxOD_st,X_KA_LED_MMAP,396,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
