"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
LED_BCP_AtSpeedVminOD_st,X_TA_LED_BCP,283,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_BOOTCFG_AtSpeedVminOD_st,X_TA_LED_BOOTCFG,284,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_DDR_AtSpeedVminOD_st,X_TA_LED_DDR,285,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_DFT_AtSpeedVminOD_st,X_TA_LED_DFT,286,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_EDMA_AtSpeedVminOD_st,X_TA_LED_EDMA,287,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_EMIF_AtSpeedVminOD_st,X_TA_LED_EMIF,288,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_ETB_AtSpeedVminOD_st,X_TA_LED_ETB,289,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_FFTC_AtSpeedVminOD_st,X_TA_LED_FFTC,290,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_GEM_AtSpeedVminOD_st,X_TA_LED_GEM,291,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_GPIO_AtSpeedVminOD_st,X_TA_LED_GPIO,292,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_I2C_AtSpeedVminOD_st,X_TA_LED_I2C,293,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_INTC_AtSpeedVminOD_st,X_TA_LED_INTC,294,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_IQN_AtSpeedVminOD_st,X_TA_LED_IQN,295,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_MMAP_AtSpeedVminOD_st,X_TA_LED_MMAP,296,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_MPU_AtSpeedVminOD_st,X_TA_LED_MPU,297,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
LED_MSMC_AtSpeedVminOD_st,X_TA_LED_MSMC,298,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
