"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
BRDG_ALL_FuncVmaxOD_st,XA_KA_BRDG_ALL,369,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
BSCAN_RPC_FuncVmaxOD_st,X_KA_BSCAN_RPC,370,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_FuncVmaxOD_st,XA_KA_CHAIN_SAF,371,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_1_FuncVmaxOD_st,XA_KA_CHAIN_SAF_1,372,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_2_FuncVmaxOD_st,XA_KA_CHAIN_SAF_2,373,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_3_FuncVmaxOD_st,XA_KA_CHAIN_SAF_3,374,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_4_FuncVmaxOD_st,XA_KA_CHAIN_SAF_4,375,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_5_FuncVmaxOD_st,XA_KA_CHAIN_SAF_5,376,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_6_FuncVmaxOD_st,XA_KA_CHAIN_SAF_6,377,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_TRANS_FuncVmaxOD_st,XD_KA_CHAIN_TRANS,378,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_FuncVmaxOD_st,XA_KA_SAF_ALL,379,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_1_FuncVmaxOD_st,XA_KA_SAF_ALL_1,380,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_2_FuncVmaxOD_st,XA_KA_SAF_ALL_2,381,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_FULCHP_FuncVmaxOD_st,XA_KA_SAF_FULCHP,382,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
