"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
BRDG_ALL_FuncVmin_st,XA_JB_BRDG_ALL,269,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
BSCAN_RPC_FuncVmin_st,X_JB_BSCAN_RPC,270,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_FuncVmin_st,XA_JB_CHAIN_SAF,271,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_1_FuncVmin_st,XA_JB_CHAIN_SAF_1,272,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_2_FuncVmin_st,XA_JB_CHAIN_SAF_2,273,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_3_FuncVmin_st,XA_JB_CHAIN_SAF_3,274,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_4_FuncVmin_st,XA_JB_CHAIN_SAF_4,275,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_5_FuncVmin_st,XA_JB_CHAIN_SAF_5,276,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_SAF_6_FuncVmin_st,XA_JB_CHAIN_SAF_6,277,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
CHAIN_TRANS_FuncVmin_st,XD_JB_CHAIN_TRANS,278,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_FuncVmin_st,XA_JB_SAF_ALL,279,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_1_FuncVmin_st,XA_JB_SAF_ALL_1,280,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_ALL_2_FuncVmin_st,XA_JB_SAF_ALL_2,281,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
SAF_FULCHP_FuncVmin_st,XA_JB_SAF_FULCHP,282,1,GE,LE,1,Bool,13,F_FUNC_SPEC,19,F_FUNC_SPEC,bad,,,
