"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_FUNC,X_JB_P1_S1,143,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_end_FUNC,X_JB_P1_end,144,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDCORE_P1_S1,145,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDDDR_P1_S1,146,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDDPLL_P1_S1,147,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDIO_P1_S1,148,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDNWA_P1_S1,149,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDPLL_P1_S1,150,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDRAM_P1_S1,151,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDSHI_P1_S1,152,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDSLO_P1_S1,153,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDUHI_P1_S1,154,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDULO_P1_S1,155,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VPP_P1_S1,156,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_FUNC,X_JB_P2_S1,157,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_end_FUNC,X_JB_P2_end,158,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDCORE_P2_S1,159,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDDDR_P2_S1,160,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDDPLL_P2_S1,161,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDIO_P2_S1,162,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDNWA_P2_S1,163,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDPLL_P2_S1,164,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDRAM_P2_S1,165,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDSHI_P2_S1,166,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDSLO_P2_S1,167,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDUHI_P2_S1,168,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDULO_P2_S1,169,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VPP_P2_S1,170,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_FUNC,X_NB_P1_S1,171,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_end_FUNC,X_NB_P1_end,172,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDCORE_P1_S1,173,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDDDR_P1_S1,174,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDDPLL_P1_S1,175,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDIO_P1_S1,176,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDNWA_P1_S1,177,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDPLL_P1_S1,178,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDRAM_P1_S1,179,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDSHI_P1_S1,180,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDSLO_P1_S1,181,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDUHI_P1_S1,182,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VDDULO_P1_S1,183,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_NB_VPP_P1_S1,184,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_FUNC,X_NB_P2_S1,185,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_end_FUNC,X_NB_P2_end,186,1,GE,LE,1,Bool,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDCORE_P2_S1,187,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDDDR_P2_S1,188,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDDPLL_P2_S1,189,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDIO_P2_S1,190,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDNWA_P2_S1,191,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_NB_VDDPLL_P2_S1,192,0,GE,LE,0,mA,6,F_LEAK_IDDQ,17,F_LEAK_IDDQ,bad,,,
