node_id,SuiteName,Testmethod,Bypassed,SoftBinNum,SoftBinName,HardBinName,BinNumber,BinSource,BinOveron,Kepler_TestNameTypelist_pg2.csv : FT_RPC_HT
13,UpdateGuardBand,ti_tml.Misc.UpdateGuardBandSpecs,,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
16,DPS128Connectivity,dc_tml.DcTest.DpsConnectivity,,1691,F_DPS128_Connectivity,OS_CRES_F,8,stop,,MISSING TestNameType ENTRY
19,Loadboard_eeprom_check,ti_tml.Misc.Check_eeprom_against_testflow,,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
20,CTCS_Init_st,ti_tml.Thermal.Thermal_Control,,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
21,CTCS_Auto_Tune_PID_st,ti_tml.Thermal.Thermal_Control,Y,1006,CTCS_FUNC_F,F_ERROR,7,cat,,MISSING TestNameType ENTRY
22,CTCS_End_Of_Lot_st,ti_tml.Thermal.Thermal_Control,,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
30,UHC4Connectivity,dc_tml.DcTest.DpsConnectivity,,1692,F_UHC4_Connectivity,OS_CRES_F,8,stop,,MISSING TestNameType ENTRY
32,Thermal_init,ti_tml.Thermal.Thermal_Reading,,999,F_THERMAL_INIT,F_ERROR,7,multi,Y,1
33,CTCS_Init_manual_st,ti_tml.Thermal.Thermal_Control,,1005,CTCS_COMM_F,F_ERROR,7,cat,,1
35,CTCS_Read_st -- DeltaTemp,ti_tml.Thermal.Thermal_Control,,988,F_CTCS_READ_DELTA,F_ERROR,7,multi,Y,MISSING TestNameType ENTRY
35,CTCS_Read_st -- CTCS : TD,ti_tml.Thermal.Thermal_Control,,995,F_CTCS_READ,F_ERROR,7,multi,Y,MISSING TestNameType ENTRY
38,SetupBBT -- PostAdaptiveRepair_st : adaptiveRepair_st : FTMemRepEFProg_st : adaptiveRepairPatterns_st : BBTOverTempFlag : BBTMaxTemp : BBTMinTemp : BBTTemp,ti_tml.BBT.SetupBBT,,11,F_ERROR,F_OS,7,multi,Y,1
38,SetupBBT -- BBT_rev,ti_tml.BBT.SetupBBT,,110,BBT_SHUTDOWN_F,F_OS,7,multi,Y,1
49,DieIDPreRead_SupplyShort_st,ti_tml.DieID.PostReadDieID,Y,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
51,SupplyShortsPre_st,ti_tml.DC.Supply_shorts,,9,F_OS_SHRT_VDD,F_OS,8,multi,Y,1
52,DieIDPreRead_SupplyShort_st_1,ti_tml.DieID.PostReadDieID,Y,MISSING BIN INFO,---,---,---,---,,MISSING TestNameType ENTRY
