SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
8,F_OS_OPEN,F_OS,8
9,F_OS_SHRT_VDD,F_OS,8
10,F_OS_SHRT_PIN,F_OS,8
11,F_ERROR,F_OS,7
23,FUSE_DIEID_WaferXY_F,F_FUSE,10
24,FUSE_DIEID_WaferXY_F,F_FUSE,10
25,FUSE_DIEID_WaferNum_F,F_FUSE,10
26,FUSE_DIEID_LotNum_F,F_FUSE,10
27,FUSE_DIEID_FabCode_F,F_FUSE,10
28,FUSE_DIEID_DesRev_F,F_FUSE,10
29,FUSE_DIEID_MemRep_F,F_FUSE,10
30,FUSE_DIEID_DevSuccess,F_FUSE,10
31,FUSE_DIEID_FabCode_F,F_FUSE,10
32,FUSE_DIEID_DesRev_F,F_FUSE,10
53,LEAK_IDDQ_N_Hardline_F,F_LEAK_HL,12
63,F_SMARTREFLEX,F_LEAK,11
110,BBT_SHUTDOWN_F,F_OS,7
987,F_CTCS_STAB,F_ERROR,7
988,F_CTCS_READ_DELTA,F_ERROR,7
992,F_CTCS_START,F_ERROR,7
994,F_CTCS_PURGE,F_ERROR,7
995,F_CTCS_READ,F_ERROR,7
999,F_THERMAL_INIT,F_ERROR,7
1000,OS_CRES_F,F_OS,8
1003,OS_SHRT_VDD_F,F_OS,8
1005,CTCS_COMM_F,F_ERROR,7
1006,CTCS_FUNC_F,F_ERROR,7
1022,FUNC_K_CHAIN_P00_F,F_FUNC,13
1023,FUNC_K_CHAIN_P01_F,F_FUNC,13
1024,FUNC_K_CHAIN_P02_F,F_FUNC,13
1025,FUNC_K_CHAIN_P03_F,F_FUNC,13
1026,FUNC_K_CHAIN_P04_F,F_FUNC,13
1027,FUNC_K_CHAIN_P05_F,F_FUNC,13
1028,FUNC_K_CHAIN_P06_F,F_FUNC,13
1029,FUNC_K_CHAIN_P07_F,F_FUNC,13
1030,FUNC_K_CHAIN_P08_F,F_FUNC,13
1031,FUNC_K_CHAIN_P09_F,F_FUNC,13
1032,FUNC_K_CHAIN_P10_F,F_FUNC,13
1033,FUNC_K_CHAIN_DFTSS_F,F_FUNC,13
1034,FUNC_K_CHAIN_PWRSWT_F,F_FUNC,13
1035,FUNC_K_SAF_P00_F,F_FUNC,13
1036,FUNC_K_SAF_P01_F,F_FUNC,13
1037,FUNC_K_SAF_P02_F,F_FUNC,13
1038,FUNC_K_SAF_P03_F,F_FUNC,13
1039,FUNC_K_SAF_P04_F,F_FUNC,13
1040,FUNC_K_SAF_P05_F,F_FUNC,13
1041,FUNC_K_SAF_P06_F,F_FUNC,13
1042,FUNC_K_SAF_P07_F,F_FUNC,13
1043,FUNC_K_SAF_P08_F,F_FUNC,13
1044,FUNC_K_SAF_P09_F,F_FUNC,13
1045,FUNC_K_SAF_P10_F,F_FUNC,13
1046,FUNC_K_SAF_DFTSS_F,F_FUNC,13
1047,FUNC_K_SAF_PWRSWT_F,F_FUNC,13
1048,FUNC_K_SAF_FULCHP_F,F_FUNC,13
1049,FUNC_K_BRDG_P00_F,F_FUNC,13
1050,FUNC_K_BRDG_P01_F,F_FUNC,13
1051,FUNC_K_BRDG_P02_F,F_FUNC,13
1052,FUNC_K_BRDG_P03_F,F_FUNC,13
1053,FUNC_K_BRDG_P04_F,F_FUNC,13
1054,FUNC_K_BRDG_P05_F,F_FUNC,13
1055,FUNC_K_BRDG_P06_F,F_FUNC,13
1056,FUNC_K_BRDG_P07_F,F_FUNC,13
1057,FUNC_K_BRDG_P08_F,F_FUNC,13
1058,FUNC_K_BRDG_P09_F,F_FUNC,13
1059,FUNC_K_BRDG_P10_F,F_FUNC,13
1060,FUNC_K_BRDG_FULCHP_F,F_FUNC,13
1061,FUNC_K_TRANS_P01_F,F_FUNC_SPEED,14
1063,FUNC_K_TRANS_P03_F,F_FUNC_SPEED,14
1064,FUNC_K_TRANS_P04_F,F_FUNC_SPEED,14
1066,FUNC_K_TRANS_P06_F,F_FUNC_SPEED,14
1070,FUNC_K_TRANS_P10_F,F_FUNC_SPEED,14
1073,FUNC_K_PB_PLL_1PR_AA_3_F,F_FUNC_SRAM,15
1074,FUNC_K_PB_PLL_1PR_C1_3_F,F_FUNC_SRAM,15
1075,FUNC_K_PB_PLL_1PR_C3_3_F,F_FUNC_SRAM,15
1077,FUNC_K_PB_PLL_1PR_C3_4_F,F_FUNC_SRAM,15
1078,FUNC_K_PB_PLL_1PR_AA_1_F,F_FUNC_SRAM,15
1079,FUNC_K_PB_PLL_1PR_T0_1_F,F_FUNC_SRAM,15
1080,FUNC_K_PB_PLL_2PR_AA_3_F,F_FUNC_SRAM,15
1081,FUNC_K_PB_PLL_2PR_C1_3_F,F_FUNC_SRAM,15
1082,FUNC_K_PB_PLL_2PR_AA_2_F,F_FUNC_SRAM,15
1083,FUNC_K_PB_PLL_2PR_C2_2_F,F_FUNC_SRAM,15
1084,FUNC_K_PB_PLL_2PR_C3_3_F,F_FUNC_SRAM,15
1085,FUNC_K_PB_PLL_2PR_AA_4_F,F_FUNC_SRAM,15
1087,FUNC_K_PB_PLL_DSP_AA_3_F,F_FUNC_SRAM,15
1088,FUNC_K_PB_PLL_DSP_C1_3_F,F_FUNC_SRAM,15
1089,FUNC_K_PB_PLL_DSP_AA_6_F,F_FUNC_SRAM,15
1090,FUNC_K_PB_PLL_DSP_C1_6_F,F_FUNC_SRAM,15
1091,FUNC_K_PB_PLL_DSP_C2_3_F,F_FUNC_SRAM,15
1092,FUNC_K_PB_PLL_DSP_C2_6_F,F_FUNC_SRAM,15
1094,FUNC_K_PB_PLL_DSP_C3_2_F,F_FUNC_SRAM,15
1095,FUNC_K_PB_PLL_DSP_C3_3_F,F_FUNC_SRAM,15
1096,FUNC_K_PB_PLL_DSP_C3_6_F,F_FUNC_SRAM,15
1098,FUNC_K_PB_PLL_DSP_T0_F_F,F_FUNC_SRAM,15
1100,FUNC_K_PB_PLL_DSP_T0_T_F,F_FUNC_SRAM,15
