CheckIndex,CheckType,CheckDescription
0,set_pass OR set_fail,ERROR: These testsuite flags CAN break Category binning.
1,"InTestflow AND Bypassed AND NOT Bang (""!"") AND TT=1",ERROR: Major problem here.  Causes Bin 13.
2,InTestflow AND NOT InCategories,"ERROR: All Testsuites in this file use Category binning. (no stop bin or multi bin ""downstream"")."
3,NOT InTestflow AND TT=1,"WARNING: This testsuite MUST be in your flow (TT=1) even if bypassed, but it's not. Why?"
4,InTestflow AND TT=0,"WARNING: Potential test escape.  If this testsuite fails, you will not know."
5,InTestflow AND NOT InTestTypes,"WARNING: Defaults to ""1"" but you should probably add it to TestTypes to be explicit."
--------------------------------------
node_id,Suite,FailedChecks,BinSource,Bypassed?,TestTypeValue : FT_RPC_HT,"Bang? (""!"")",set_pass?,set_fail?,InTestflow?,InCategories?,InTestTypes?
2454,PB_PLL_DSP_COLD_AtSpeedVmax_st,5,cat,,,Y,,,Y,Y,
1032,LED_SPI_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
749,SetupBrdgVmin,"2,5",cat,,,,,,Y,,
877,LED_DDR_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
3330,LED_DDR_DATAPHY_I_B_PG_FreqSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
509,CHAIN_SRCH_P00_PG_FuncVmin_st,4,cat,Y,0,,,,Y,Y,Y
3236,LED_PHY_PCIE_PG_VminSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
1072,Shmoo_ARM_SLo_1,"2,5",cat,Y,,,,,Y,,
,DTC2_TS2_DEG_FINAL,3,cat,Y,1,,,,,Y,Y
866,LED_INTC_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
2709,LED_PLLCTRL_PG_AtSpeedVmax_st,4,cat,Y,0,Y,,,Y,Y,Y
1676,P_SRCH_S4A_G5_2DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1775,P_SRCH_UHD_AA_3PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
55,SupplyShortsPre2_st_old,"2,5",cat,Y,,,,,Y,,
704,SAF_SRCH_P07_PG_FuncVmin_st,4,cat,Y,0,,,,Y,Y,Y
2609,LED_PA_PG_AtSpeedVmax_cold_st,4,cat,,0,Y,,,Y,Y,Y
3228,binSrch_RTA_M0_1DO_PG_VminSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
226,PB_PLL_S1R_Gx_COLD_AtSpeedVmax_st,5,cat,,,Y,,,Y,Y,
,DTC_TS2_BLOWN_OFFSET,3,cat,,1,Y,,,,Y,Y
1556,P_SRCH_S1R_G3_1DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1023,LED_QMSS_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
58,DieIDPreRead_Shortn_st,"2,5",cat,Y,,,,,Y,,
910,LED_PHY_AIF_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
1727,P_SRCH_SDP_G2_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1625,P_SRCH_S4A_G1_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1020,LED_PSC_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
3322,TRANS_P09_C2_PG_FreqSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
976,LED_MSMC_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
707,SAF_SRCH_P10_PG_FuncVmin_st,4,cat,Y,0,,,,Y,Y,Y
2717,LED_TCP_PG_AtSpeedVmax_st,4,cat,Y,0,Y,,,Y,Y,Y
1391,P_SRCH_2PR_C1_3DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
3422,TFTOutlierScreen_eng,"2,5",cat,,,,,,Y,,
1421,P_SRCH_DSP_AA_6DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1883,TRANS_SRCH_P04_CB_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1685,P_SRCH_S4A_G6_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1827,P_SRCH_RTA_T0_FDO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
3365,CTCS_SearchFmax,"2,5",cat,,,,,,Y,,
97,XtrIdriveTest_CORE_HVT,"2,5",cat,Y,,,,,Y,,
1757,P_SRCH_SDP_G7_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
2118,PB_PLL_S1R_COLD_AtSpeedVskewPhi_st,5,cat,,,Y,,,Y,Y,
2326,LED_PHY_PCIE_PG_AtSpeedVmax_st,4,cat,,0,Y,,,Y,Y,Y
3415,TRANS_P06_C1_PG_FreqSearch_st_eng,"2,5",cat,,,,,,Y,,
,DTC2_TS1_DEG_INITIAL,3,cat,,1,,,,,Y,Y
2612,LED_USB_PG_AtSpeedVmax_cold_st,4,cat,,0,Y,,,Y,Y,Y
,thermdiodea1,3,cat,,1,Y,,,,Y,Y
1688,P_SRCH_S4A_G6_2DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
3269,binSrch_LED_GEM_XM_AG_PG_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
93,CTCS_Thermal,"2,5",cat,,,,,,Y,,
1715,P_SRCH_SDP_G0_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
177,SAF_SRCH_P01_PG_FuncVmaxFT_st,4,cat,Y,0,Y,,,Y,Y,Y
1547,P_SRCH_S1R_G1_1PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
,SampleDieProg_st,3,cat,,1,Y,,,,Y,Y
1448,P_SRCH_DSP_C2_6PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
2466,PB_PLL_SSP_COLD_AtSpeedVmax_st,5,cat,,,Y,,,Y,Y,
521,CHAIN_SRCH_P07_PG_FuncVmin_st,4,cat,Y,0,,,,Y,Y,Y
3388,TRANS_P03_C1_PG_VminSearch_st_eng,"2,5",cat,,,,,,Y,,
3213,binSrch_HAFTAA_RTA_PG_VminSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
1400,P_SRCH_2PR_C2_2PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1544,P_SRCH_S1R_G1_1DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
2009,TRANS_SRCH_P07_CA_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
22,CTCS_End_Of_Lot_st,"2,5",cat,,,,,,Y,,
3272,binSrch_LED_ARM_AA_PG_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
958,LED_MPU_PG_AtSpeedVmin_cold_st,4,cat,,0,Y,,,Y,Y,Y
150,FuseChainAddr_st,"2,5",cat,Y,,,,,Y,,
700,SAF_SRCH_P02_PG_FuncVmin_st,4,cat,Y,0,,,,Y,Y,Y
,T_CTCS_MIN_READ,3,cat,,1,Y,,,,Y,Y
3285,ALL_XX_MC_PG_VminSearch_st,4,cat,Y,0,Y,,,Y,Y,Y
1071,Shmoo_ARM_Core_1,"2,5",cat,Y,,,,,Y,,
3344,TRANS_P03_C1_PG_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
1057,LED_VCP_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
1748,P_SRCH_SDP_G6_1DO_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
967,LED_GEM_PG_AtSpeedVmin_cold_st,4,cat,,0,Y,,,Y,Y,Y
985,LED_FFTC_PG_AtSpeedVmin_st,4,cat,,0,Y,,,Y,Y,Y
1913,TRANS_SRCH_P09_C3_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
1430,P_SRCH_DSP_C1_3PR_PG_AtSpeedVmin_st,4,cat,Y,0,Y,,,Y,Y,Y
