node_id,SuiteName,bypassed,stop_sbins,category_sbins,multi_sbins
60,PinShortsTestPerPin_st_nIForce,,,1002,10
2454,PB_PLL_DSP_COLD_AtSpeedVmax_st,,,1087,
2172,PB_PLL_DSP_C3_6_PG_AtSpeedVskewPhi_st,,,1524,
3250,HAFTAA_C3DSPA_PG_VminSearch_st,,,1672,
84,CTCS_Start_st,,,1005,992
823,CHAIN_P03_PG_2_FuncVmin_st,,,1218,
1032,LED_SPI_PG_AtSpeedVmin_st,,,1391,
749,SetupBrdgVmin,,,,X_63
2277,PB_PLL_SDP_G4_1_PG_AtSpeedVskewPhi_st,,,1576,
2083,PB_PLL_RTA_T0_F_COLD_AtSpeedVskewPhi_st,,,1540,
3330,LED_DDR_DATAPHY_I_B_PG_FreqSearch_st,Y,,1672,X_14
509,CHAIN_SRCH_P00_PG_FuncVmin_st,Y,,1215,X_14
3236,LED_PHY_PCIE_PG_VminSearch_st,Y,,1672,X_14
1072,Shmoo_ARM_SLo_1,Y,,,
866,LED_INTC_PG_AtSpeedVmin_st,,,1370,
2113,PB_PLL_RTA_T0_F_PG_AtSpeedVskewPhi_st,,,1540,
76,DCPinOpensTestPerPin_st_pIForce_SigGroup,,,1001,8
2709,LED_PLLCTRL_PG_AtSpeedVmax_st,Y,,1191,X_14
1676,P_SRCH_S4A_G5_2DO_PG_AtSpeedVmin_st,Y,,1331,
1775,P_SRCH_UHD_AA_3PR_PG_AtSpeedVmin_st,Y,,1349,
2681,PB_PLL_UHD_C2_4_PG_AtSpeedVmax_st,,,1160,
2878,P_SRCH_1PR_C1_3DO_PG_AtSpeedVmax_st,Y,,1082,
2827,P_SRCH_S1R_G4_1PR_PG_AtSpeedVmax_st,Y,,1118,
676,CHAIN_P08_PG_3_FuncVmin_st,,,1223,
3010,P_SRCH_S4A_G0_2DO_PG_AtSpeedVmax_st,Y,,1128,
2184,PB_PLL_S1R_G1_1_PG_AtSpeedVskewPhi_st,,,1543,
55,SupplyShortsPre2_st_old,Y,,,
3016,P_SRCH_S4A_G1_1DO_PG_AtSpeedVmax_st,Y,,1129,
2604,PB_PLL_S4A_G7_2_PG_AtSpeedVmax_st,,,1142,
2609,LED_PA_PG_AtSpeedVmax_cold_st,,,1180,
1799,P_SRCH_UHD_C3_3PR_PG_AtSpeedVmin_st,Y,,1354,
2657,PB_PLL_SDP_G5_1_PG_AtSpeedVmax_st,,,1149,
3228,binSrch_RTA_M0_1DO_PG_VminSearch_st,Y,,1672,X_14
226,PB_PLL_S1R_Gx_COLD_AtSpeedVmax_st,,,1114,
2496,PB_PLL_2PR_C3_3_PG_AtSpeedVmax_st,,,1084,
3416,TRANS_P07_C3_PG_FreqSearch_st_eng,,,,X_14
1556,P_SRCH_S1R_G3_1DO_PG_AtSpeedVmin_st,Y,,1310,
1211,PB_PLL_S1R_G0_1_PG_AtSpeedVmin_st,,,1307,
3272,binSrch_LED_ARM_AA_PG_VminSearch_st,,,1672,
758,BRDG_SRCH_P02_PG_FuncVmin_st,,,1244,
1023,LED_QMSS_PG_AtSpeedVmin_st,,,1387,
58,DieIDPreRead_Shortn_st,Y,,,X_32|X_30|X_31|X_23|X_25|X_24|X_27|X_26|X_29|X_28
2815,P_SRCH_S1R_G2_1PR_PG_AtSpeedVmax_st,Y,,1116,
2442,TRANS_P10_C1_PG_AtSpeedVmax_st,,,1070,
704,SAF_SRCH_P07_PG_FuncVmin_st,Y,,1235,X_14
1625,P_SRCH_S4A_G1_1PR_PG_AtSpeedVmin_st,Y,,1322,
2347,PB_PLL_DSP_T0_F_PG_AtSpeedVmax_st,,,1098,
