SoftBinNumber,SoftBinName,HardBinName,HardBinNumber
7,OS_OPEN_F,F_OS,8
9,OS_SHRT_VDD_F,F_OS,8
31,FUSE_DIEID_PostRead_F,F_FUSE,10
53,LEAK_IDDQ_N_Hardline_F,F_LEAK,12
63,SMARTREFLEX_F,F_LEAK,12
96,F_UHC4_Connectivity,F_OS,8
97,F_DPS128_Connectivity,F_OS,8
98,F_LOADBOARDCHK_SBIN,F_ERROR,7
987,F_CTCS_STAB,F_ERROR,7
988,F_CTCS_READ_DELTA,F_ERROR,7
992,F_CTCS_START,F_ERROR,7
994,F_CTCS_PURGE,F_ERROR,7
995,F_CTCS_READ,F_ERROR,7
999,F_THERMAL_INIT,F_ERROR,7
1000,OS_CRES_F,F_OS,8
1010,ODP_RingOsc_F,F_OS,8
1011,ODP_Icap_F,F_OS,8
1012,ODP_Via_F,F_OS,8
1013,ODP_XtrIdrive_F,F_OS,8
1014,ODP_XtrVt_F,F_OS,8
1015,MISSING BIN INFO,---,---
1051,F_CTCS_INIT,F_ERROR,7
1058,F_THERMDIODE,F_ERROR,7
1061,F_WARMUP,F_ERROR,7
1101,FUSE_InitCheck_F,F_FUSE,10
1102,FUSE_RunAutoload_F,F_FUSE,10
1103,FUSE_ProgramVIDSpeeds_F,F_FUSE,10
1104,FUSE_VerifyVIDSpeeds_F,F_FUSE,10
1150,LEAK_IDDQ_F,F_LEAK,12
1200,FUNC_J_BRDG_ALL_F,F_FUNC,13
1201,FUNC_J_BSCAN_RPC_F,F_FUNC,13
1202,FUNC_J_CHAIN_SAF_F,F_FUNC,13
1203,FUNC_J_CHAIN_SAF_1_F,F_FUNC,13
1204,FUNC_J_CHAIN_SAF_2_F,F_FUNC,13
1205,FUNC_J_CHAIN_SAF_3_F,F_FUNC,13
1206,FUNC_J_CHAIN_SAF_4_F,F_FUNC,13
1207,FUNC_J_CHAIN_SAF_5_F,F_FUNC,13
1208,FUNC_J_CHAIN_SAF_6_F,F_FUNC,13
1209,FUNC_J_CHAIN_TRANS_F,F_FUNC,13
1210,FUNC_J_SAF_ALL_F,F_FUNC,13
1211,FUNC_J_SAF_ALL_1_F,F_FUNC,13
