CheckIndex,CheckType,CheckDescription
0,set_pass OR set_fail,ERROR: These testsuite flags CAN break Category binning.
1,"InTestflow AND Bypassed AND NOT Bang (""!"") AND TT=1",ERROR: Major problem here.  Causes Bin 13.
2,InTestflow AND NOT InCategories,"ERROR: All Testsuites in this file use Category binning. (no stop bin or multi bin ""downstream"")."
3,NOT InTestflow AND TT=1,"WARNING: This testsuite MUST be in your flow (TT=1) even if bypassed, but it's not. Why?"
4,InTestflow AND TT=0,"WARNING: Potential test escape.  If this testsuite fails, you will not know."
5,InTestflow AND NOT InTestTypes,"WARNING: Defaults to ""1"" but you should probably add it to TestTypes to be explicit."
--------------------------------------
node_id,Suite,FailedChecks,BinSource,Bypassed?,TestTypeValue : FT_RPC_HT,"Bang? (""!"")",set_pass?,set_fail?,InTestflow?,InCategories?,InTestTypes?
179,SpeedSortVert_TRANS_1,"2,5",cat,,,,,,Y,,
122,ODP_XtrVtTest,4,cat,Y,0,Y,,,Y,Y,Y
73,ReadVIDSpeeds,4,cat,,0,Y,,,Y,Y,Y
100,IddqVmax_IqC08Ful_______LM10_005_st_PM1_FUNC,4,cat,Y,0,Y,,,Y,Y,Y
382,LED_GEM_XM_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
117,ODP_RingOscTest,4,cat,Y,0,Y,,,Y,Y,Y
378,SAF_P00_P10_1_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
142,ApplySRVminGBfromTDMeas,"2,5",cat,,,,,,Y,,
369,LED_GEM_XM_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
368,LED_GEM_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
197,SpeedSortVert_PBIST,"2,5",cat,,,,,,Y,,
92,IddqVnom_IqC08Ful_______LM10_005_st_end_FUNC,4,cat,Y,0,,,,Y,Y,Y
87,IddqVmin1_IqC08Ful_______LM10_006_st_end_FUNC,4,cat,Y,0,,,,Y,Y,Y
392,EfusePostVerify_st,"2,5",cat,Y,,,,,Y,,
367,LED_TETRIS_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
,SRc0Power_st,3,cat,,1,,,,,Y,Y
103,IddqVmax_IqC08Ful_______LM10_005_st_CCE,"2,5",cat,Y,,,,,Y,,
397,DISCONNECT_SupplyShortsPost,"2,5",cat,,,,,,Y,,
105,IddqVmax_IqC08Ful_______LM10_006_st_PM1_FUNC,4,cat,Y,0,Y,,,Y,Y,Y
372,TFT_SPEED_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
108,IddqVmax_IqC08Ful_______LM10_006_st_CCE,"2,5",cat,Y,,,,,Y,,
70,Thermo_Sensors_Read_Temperature,4,cat,,0,Y,,,Y,Y,Y
93,IddqVnom_IqC08Ful_______LM10_005_st_CCE,5,cat,,,Y,,,Y,Y,
260,PHY_SGMII_AtSpeedSRVminOD_st,4,cat,Y,0,,,,Y,Y,Y
383,PB_PLL_RTA_M0_1DO_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
162,SpeedSortVert_LED_TETRIS,"2,5",cat,,,,,,Y,,
191,SpeedSortVert_TRANS_FULLCHIP,"2,5",cat,,,,,,Y,,
39,DISCONNECT_SupplyShortsPre,"2,5",cat,,,,,,Y,,
102,IddqVmax_IqC08Ful_______LM10_005_st_end_FUNC,4,cat,Y,0,Y,,,Y,Y,Y
32,CTCS_Init_manual_st,4,cat,,0,Y,,,Y,Y,Y
37,SetupBBT_st,"2,5",cat,Y,,,,,Y,,
259,PHY_PCIE_AtSpeedSRVminOD_st,4,cat,Y,0,,,,Y,Y,Y
35,DISCONNECT_1,"2,5",cat,,,,,,Y,,
82,IddqVmin1_IqC08Ful_______LM10_005_st_end_FUNC,4,cat,Y,0,,,,Y,Y,Y
373,TFT_SPEED_1_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
380,LED_TETRIS_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
356,PHY_DRFE0_AtSpeedVmaxOK_st,4,cat,Y,0,,,,Y,Y,Y
120,ODP_ViaTest,4,cat,Y,0,Y,,,Y,Y,Y
370,PB_PLL_RTA_M0_1DO_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
257,PHY_DRFE0_AtSpeedSRVminOD_st,4,cat,Y,0,,,,Y,Y,Y
381,LED_GEM_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
74,PreReadSrc0,"2,5",cat,,,,,,Y,,
121,ODP_XtrIdriveTest,4,cat,Y,0,Y,,,Y,Y,Y
401,DISCONNECT_Cres,"2,5",cat,,,,,,Y,,
375,SAF_C_P00_P10_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
156,SpeedSortVert_PBIST_TETRIS,"2,5",cat,,,,,,Y,,
21,CTCS_Init_st,4,cat,,0,Y,,,Y,Y,Y
145,SpeedSortVert_TRANS_P08,"2,5",cat,,,,,,Y,,
71,CTCS_Thermal,"2,4",cat,,0,,,,Y,,Y
83,IddqVmin1_IqC08Ful_______LM10_005_st_CCE,5,cat,,,Y,,,Y,Y,
359,PHY_SGMII_AtSpeedVmaxOK_st,4,cat,Y,0,,,,Y,Y,Y
376,SAF_C_P00_P10_1_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
258,PHY_DRFE1_AtSpeedSRVminOD_st,4,cat,Y,0,,,,Y,Y,Y
0,setUserVars,"2,5",cat,,,,,,Y,,
371,PB_PLL_TETRIS_1DO_FreqSearch_st,4,cat,,0,Y,,,Y,Y,Y
68,Thermo_Sensors_Calibration,4,cat,,0,Y,,,Y,Y,Y
106,IddqVmax_IqC08Ful_______LM10_006_st_PM1_MEAS,4,cat,Y,0,Y,,,Y,Y,Y
13,Init_framework,"2,5",cat,,,,,,Y,,
357,PHY_DRFE1_AtSpeedVmaxOK_st,4,cat,Y,0,,,,Y,Y,Y
22,CTCS_End_Of_Lot_st,"2,5",cat,,,,,,Y,,
119,ODP_IcapTest,4,cat,Y,0,Y,,,Y,Y,Y
379,SAF_FULCHP_VminSearch_st,4,cat,,0,Y,,,Y,Y,Y
