node_id,SuiteName,bypassed,stop_sbins,category_sbins,multi_sbins
257,PHY_DRFE0_AtSpeedSRVminOD_st,Y,,1450,X_15
275,CHAIN_SAF_6_FuncVmaxOK_st,,,1222,X_15
96,IddqVnom_IqC08Ful_______LM10_006_st_PM1_MEAS,,,1150,X_900
41,SupplyShortsPre_st,,,1001,9
384,PB_PLL_TETRIS_1DO_VminSearch_st,,,1490,X_15
253,PB_PLL_DFE_AtSpeedSRVminOD_st,,,1401,X_15
74,PreReadSrc0,,,,X_63|X_53
318,LED_BOOTCFG_AtSpeedVmaxOK_st,,,1315,X_15
121,ODP_XtrIdriveTest,Y,,1014,X_404|X_405|X_401|X_403
401,DISCONNECT_Cres,,,,
276,CHAIN_TRANS_FuncVmaxOK_st,,,1223,X_15
402,Cres_st,,,1000,X_11
298,TRANS_P08_1_AtSpeedVmaxOK_st,,,1368,X_15
286,TRANS_P02_AtSpeedVmaxOK_st,,,1356,X_15
128,BSCAN_RPC_FuncVmin_st,,,1201,X_15
63,CTCS_Start_st,,,1054,992
294,TRANS_P06_AtSpeedVmaxOK_st,,,1364,X_15
184,TRANS_P05_AtSpeedSRVminOD_st,,,1298,X_15
375,SAF_C_P00_P10_VminSearch_st,,,1490,X_15
342,LED_SMARTREFLEX_AtSpeedVmaxOK_st,,,1339,X_15
58,DISCONNECT_Conty,,,,
350,LED_USB_AtSpeedVmaxOK_st,,,1347,X_15
122,ODP_XtrVtTest,Y,,1015,X_411|X_410|X_408|X_409|X_406|X_407
352,LED_VCP_AtSpeedVmaxOK_st,,,1349,X_15
360,PHY_USB_AtSpeedVmaxOK_st,,,1462,X_15
274,CHAIN_SAF_5_FuncVmaxOK_st,,,1221,X_15
320,LED_DFT_AtSpeedVmaxOK_st,,,1317,X_15
73,ReadVIDSpeeds,,,1104,
66,CTCS_Purge_st,,,1052,994|987
353,PHY_DDR_AC_AtSpeedVmaxOK_st,,,1463,X_15
233,LED_TCP_AtSpeedSRVminOD_st,,,1278,X_15
405,Final_Binning,,,,
100,IddqVmax_IqC08Ful_______LM10_005_st_PM1_FUNC,Y,,1150,X_900
351,LED_USIM_AtSpeedVmaxOK_st,,,1348,X_15
172,TRANS_P04_1_AtSpeedSRVminOD_st,,,1297,X_15
124,EfuseInitCheck_st,,,1101,X_12
371,PB_PLL_TETRIS_1DO_FreqSearch_st,,,1491,X_15
273,CHAIN_SAF_4_FuncVmaxOK_st,,,1220,X_15
129,CHAIN_SAF_FuncVmin_st,,,1202,X_15
127,BRDG_ALL_FuncVmin_st,,,1200,X_15
292,TRANS_P05_AtSpeedVmaxOK_st,,,1362,X_15
199,PB_PLL_CHIP_AtSpeedSRVminOD_st,,,1400,X_15
365,PB_PLL_VSKEW_3_AtSpeedVskewPhiOD_st,,,1417,X_15
259,PHY_PCIE_AtSpeedSRVminOD_st,Y,,1452,X_15
135,CHAIN_SAF_6_FuncVmin_st,,,1208,X_15
130,CHAIN_SAF_1_FuncVmin_st,,,1203,X_15
316,PB_PLL_TETRIS_AtSpeedVmaxOK_st,,,1413,X_15
284,TRANS_P01_AtSpeedVmaxOK_st,,,1354,X_15
317,LED_BCP_AtSpeedVmaxOK_st,,,1314,X_15
282,TRANS_CPU1_AtSpeedVmaxOK_st,,,1352,X_15
246,TRANS_Q04_1_AtSpeedSRVminOD_st,,,1309,X_15
309,TRANS_COV_1_AtSpeedVmaxOK_st,,,1351,X_15
156,SpeedSortVert_PBIST_TETRIS,,,,
21,CTCS_Init_st,,,1051,X_993
