TestCondition,CAPVDDALDOSRAMCOREAR,CAPVDDALDOSRAMMMARRA,CAPVDDALDOSRAMMPUARR,CAPVDDALDOSRAMMPUA_1,CAP_VBB_LDO_MM,CAP_VBB_LDO_MPU,CAP_VDDLDO_EMU_WKUP
VMAX,1.18,1.21,1.3,1.3,1.21,1.21,1.2
VMAX_MM,1.18,1.21,1.3,1.3,1.21,1.21,1.2
VMAX_MPU,1.18,1.21,1.3,1.3,1.21,1.21,1.2
VMAXSB_MPU,1.18,1.21,1.3,1.3,1.21,1.21,1.2
OPSB,1.15,1.15,1.15,1.15,0.93,1.15,1.2
OPHI,1.15,1.15,1.17,1.17,0.93,1.15,1.2
OPOD,1.15,1.15,1.15,1.15,1.09,0.99,1.2
OPNO_MEM,1.1,1.1,1.1,1.1,0.93,0.99,1.2
OPNO,1.15,1.15,1.15,1.15,0.93,0.99,1.2
OPNO_CORE,1.15,1.15,1.15,1.15,1.03,1.03,1.2
OPLO_MEM,1.15,1.15,1.15,1.15,0.93,0.99,1.2
OPLO,1.15,1.15,1.15,1.15,0.88,0.88,1.2
LOOSEVEFUSER,1.15,1.15,1.15,1.15,1,1,1.2
LOOSEVEFUSEP,1.15,1.15,1.15,1.15,1,1,1.2
LOOSEVSRAMSCN,0.97,0.97,0.97,0.97,1.18,1.18,1.2
LOOSEVSRAMLO,0.97,0.97,0.97,0.97,0.97,0.97,1.2
LOOSEVSRAMOPL,1.02,1.02,1.02,1.02,0.9,0.9,1.2
LOOSEVSRAMNOM,1.13,1.13,1.13,1.13,1,1,1.13
LOOSEVSRAMOPH,1.24,1.24,1.24,1.24,1.1,1.1,1.2
LOOSEVSRAMHI,1.5,1.5,1.5,1.5,1.5,1.5,1.2
LOOSEVSRAMSCNP,0.99,0.99,0.99,0.99,1.18,1.18,1.2
LOOSEVSRAMLOP,0.99,0.99,0.99,0.99,0.99,0.99,1.2
LOOSEVSRAMHIM,1.53,1.53,1.53,1.53,1.53,1.53,1.2
LOOSEVSRAMDRC,1.13,1.13,1.13,1.13,1,1,1.13
LOOSEVSRAMDRIC,1.13,1.13,1.13,1.13,1,1,1.13
VNOM_temp1,1.15,1.15,1.15,1.15,0.98,0.98,1.2
VNOM_temp2,1.15,1.15,1.15,1.15,1.01,1.01,1.2
VNOM1,1.15,1.15,1.15,1.15,1.12,1.12,1.2
AVMINE,1.02,1.02,1.02,1.02,0.88,0.88,1.2
AVMINI,1.02,1.02,1.02,1.02,0.88,0.88,1.2
AVMINJ,1.02,1.02,1.02,1.02,0.88,0.88,1.2
AVMIN1,1.15,1.15,1.15,1.15,1,1,1.2
AVMIN2,1.15,1.15,1.15,1.15,1,1,1.2
AVMIN3,1.15,1.15,1.15,1.15,0.7,0.7,1.2
AVNOM,1.15,1.15,1.15,1.15,1,1,1.2
AVNOM1,1.15,1.15,1.15,1.15,1,1,1.2
AVNOM2,1.15,1.15,1.15,1.15,0.95,0.95,1.2
AVNOM3,1.15,1.15,1.15,1.15,0.95,0.95,1.2
AVNOM4,1.15,1.15,1.15,1.15,0.95,0.95,1.2
AVMAX1,1.15,1.15,1.15,1.15,1.19,1.19,1.2
AVMAX2,1.15,1.15,1.15,1.15,1.08,1.08,1.2
AVMAX3,1.15,1.15,1.15,1.15,1.26,1.26,1.2
AVMAX,1.15,1.15,1.15,1.15,1.1,1.1,1.2
AVMAXE,1.15,1.15,1.15,1.15,1.1,1.1,1.2
AMIX,1.02,1.02,1.02,1.02,0.88,0.88,1.2
VNOM1_VOL,1.15,1.15,1.15,1.15,1,1,1.2
VNOM2_VOL,1.15,1.15,1.15,1.15,1,1,1.2
VNOM3_VOL,1.15,1.15,1.15,1.15,1,1,1.2
VNOM1_VOH,1.15,1.15,1.15,1.15,1,1,1.2
VNOM2_VOH,1.15,1.15,1.15,1.15,1,1,1.2
VNOM3_VOH,1.15,1.15,1.15,1.15,1,1,1.2
