"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
LED_ALL_AtSpeedVmaxOK_st,X_IA_LED_ALL,829,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
LED_NSS_AtSpeedVmaxOK_st,X_IA_LED_NSS,830,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
LED_TETRIS_AtSpeedVmaxOK_st,X_IA_LED_TETRIS,831,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_CHIP_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_CHIP_MM1,832,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_DFE_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_DFE_MM1,833,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_GEM_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_GEM_MM1,834,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_MSMC_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_MSMC_MM1,835,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_NSS_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_NSS_MM1,836,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_ROM_AtSpeedVmaxOK_st,XM_IA_PB_PLL_ROM,837,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_TETRIS_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_TETRIS_MM1,838,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_VSKEW_MM1,839,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_1_AtSpeedVmaxOK_st,XM_IA_PB_PLL_VSKEW_MM1_1,840,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_2_AtSpeedVmaxOK_st,XM_IA_PB_PLL_VSKEW_MM1_2,841,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_3_AtSpeedVmaxOK_st,XM_IA_PB_PLL_VSKEW_MM1_3,842,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DDR_AC_AtSpeedVmaxOK_st,X_IA_PHY_DDR_AC,843,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DDR_AC_BU_AtSpeedVmaxOK_st,X_IA_PHY_DDR_AC_BU,844,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DDR_DAT_AtSpeedVmaxOK_st,X_IA_PHY_DDR_DAT,845,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DRFE0_AtSpeedVmaxOK_st,X_IA_PHY_DRFE0,846,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DRFE1_AtSpeedVmaxOK_st,X_IA_PHY_DRFE1,847,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_PCIE_AtSpeedVmaxOK_st,X_IA_PHY_PCIE,848,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_SGMII_AtSpeedVmaxOK_st,X_IA_PHY_SGMII,849,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_USB_AtSpeedVmaxOK_st,X_IA_PHY_USB,850,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_ALL_AtSpeedVmaxOK_st,XT_IA_TRANS_ALL,851,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_ALL_1_AtSpeedVmaxOK_st,XT_IA_TRANS_ALL_1,852,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_COV_AtSpeedVmaxOK_st,XT_IA_TRANS_COV,853,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_COV_1_AtSpeedVmaxOK_st,XT_IA_TRANS_COV_1,854,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_CPU1_AtSpeedVmaxOK_st,XT_IA_TRANS_CPU1,855,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_DFE_AtSpeedVmaxOK_st,XT_IA_TRANS_DFE,856,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_DFE_1_AtSpeedVmaxOK_st,XT_IA_TRANS_DFE_1,857,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_NSS_AtSpeedVmaxOK_st,XT_IA_TRANS_NSS,858,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_TETRIS_AtSpeedVmaxOK_st,XT_IA_TRANS_TETRIS,859,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_TETRIS_1_AtSpeedVmaxOK_st,XT_IA_TRANS_TETRIS_1,860,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
