"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
LED_ALL_AtSpeedSRVminOD_st,X_HA_LED_ALL,776,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
LED_NSS_AtSpeedSRVminOD_st,X_HA_LED_NSS,777,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
LED_TETRIS_AtSpeedSRVminOD_st,X_HA_LED_TETRIS,778,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_CHIP_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_CHIP_MM1,779,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_DFE_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_DFE_MM1,780,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_GEM_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_GEM_MM1,781,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_MSMC_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_MSMC_MM1,782,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_NSS_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_NSS_MM1,783,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_ROM_AtSpeedSRVminOD_st,XM_HA_PB_PLL_ROM,784,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_TETRIS_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_TETRIS_MM1,785,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_VSKEW_MM1,786,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_1_AtSpeedSRVminOD_st,XM_HA_PB_PLL_VSKEW_MM1_1,787,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_2_AtSpeedSRVminOD_st,XM_HA_PB_PLL_VSKEW_MM1_2,788,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PB_PLL_VSKEW_MM1_3_AtSpeedSRVminOD_st,XM_HA_PB_PLL_VSKEW_MM1_3,789,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DRFE0_AtSpeedSRVminOD_st,X_HA_PHY_DRFE0,790,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_DRFE1_AtSpeedSRVminOD_st,X_HA_PHY_DRFE1,791,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_PCIE_AtSpeedSRVminOD_st,X_HA_PHY_PCIE,792,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_SGMII_AtSpeedSRVminOD_st,X_HA_PHY_SGMII,793,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
PHY_USB_AtSpeedSRVminOD_st,X_HA_PHY_USB,794,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_ALL_AtSpeedSRVminOD_st,XT_HA_TRANS_ALL,795,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_ALL_1_AtSpeedSRVminOD_st,XT_HA_TRANS_ALL_1,796,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_COV_AtSpeedSRVminOD_st,XT_HA_TRANS_COV,797,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_COV_1_AtSpeedSRVminOD_st,XT_HA_TRANS_COV_1,798,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_CPU1_AtSpeedSRVminOD_st,XT_HA_TRANS_CPU1,799,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_DFE_AtSpeedSRVminOD_st,XT_HA_TRANS_DFE,800,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_DFE_1_AtSpeedSRVminOD_st,XT_HA_TRANS_DFE_1,801,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_NSS_AtSpeedSRVminOD_st,XT_HA_TRANS_NSS,802,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_TETRIS_AtSpeedSRVminOD_st,XT_HA_TRANS_TETRIS,803,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
TRANS_TETRIS_1_AtSpeedSRVminOD_st,XT_HA_TRANS_TETRIS_1,804,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
