"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
BRDG_ALL_FuncVmaxOK_st,XA_IA_BRDG_ALL,815,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
BSCAN_RPC_FuncVmaxOK_st,X_IA_BSCAN_RPC,816,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_FuncVmaxOK_st,XA_IA_CHAIN_SAF,817,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_1_FuncVmaxOK_st,XA_IA_CHAIN_SAF_1,818,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_2_FuncVmaxOK_st,XA_IA_CHAIN_SAF_2,819,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_3_FuncVmaxOK_st,XA_IA_CHAIN_SAF_3,820,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_4_FuncVmaxOK_st,XA_IA_CHAIN_SAF_4,821,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_5_FuncVmaxOK_st,XA_IA_CHAIN_SAF_5,822,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_6_FuncVmaxOK_st,XA_IA_CHAIN_SAF_6,823,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_TRANS_FuncVmaxOK_st,XD_IA_CHAIN_TRANS,824,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_FuncVmaxOK_st,XA_IA_SAF_ALL,825,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_1_FuncVmaxOK_st,XA_IA_SAF_ALL_1,826,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_2_FuncVmaxOK_st,XA_IA_SAF_ALL_2,827,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_FULCHP_FuncVmaxOK_st,XA_IA_SAF_FULCHP,828,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
