"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
BRDG_ALL_FuncVmin_st,XA_JB_BRDG_ALL,762,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
BSCAN_RPC_FuncVmin_st,X_JB_BSCAN_RPC,763,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_FuncVmin_st,XA_JB_CHAIN_SAF,764,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_1_FuncVmin_st,XA_JB_CHAIN_SAF_1,765,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_2_FuncVmin_st,XA_JB_CHAIN_SAF_2,766,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_3_FuncVmin_st,XA_JB_CHAIN_SAF_3,767,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_4_FuncVmin_st,XA_JB_CHAIN_SAF_4,768,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_5_FuncVmin_st,XA_JB_CHAIN_SAF_5,769,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_SAF_6_FuncVmin_st,XA_JB_CHAIN_SAF_6,770,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
CHAIN_TRANS_FuncVmin_st,XD_JB_CHAIN_TRANS,771,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_FuncVmin_st,XA_JB_SAF_ALL,772,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_1_FuncVmin_st,XA_JB_SAF_ALL_1,773,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_ALL_2_FuncVmin_st,XA_JB_SAF_ALL_2,774,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
SAF_FULCHP_FuncVmin_st,XA_JB_SAF_FULCHP,775,1,GE,LE,1,Bool,15,F_FUNC_SPEC,10,F_FUNC,bad,,,
