"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","TEMP_25_DEG","","","","","","","",""
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_FUNC,X_JB_P1_S1,636,1,GE,LE,1,Bool,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_end_FUNC,X_JB_P1_end,637,1,GE,LE,1,Bool,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDCORE_P1_S1,638,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDDDR_P1_S1,639,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDDPLL_P1_S1,640,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDIO_P1_S1,641,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDNWA_P1_S1,642,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDPLL_P1_S1,643,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDRAM_P1_S1,644,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDSHI_P1_S1,645,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDSLO_P1_S1,646,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDUHI_P1_S1,647,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VDDULO_P1_S1,648,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_005_st_PM1_MEAS,IQS_JB_VPP_P1_S1,649,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_FUNC,X_JB_P2_S1,650,1,GE,LE,1,Bool,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_end_FUNC,X_JB_P2_end,651,1,GE,LE,1,Bool,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDCORE_P2_S1,652,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDDDR_P2_S1,653,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDDPLL_P2_S1,654,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDIO_P2_S1,655,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDNWA_P2_S1,656,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
IddqVmin1_IqC08Ful_______LM10_006_st_PM1_MEAS,IQS_JB_VDDPLL_P2_S1,657,0,GE,LE,0,mA,13,F_LEAK_IDDQ,12,F_LEAK,bad,,,
